😀	विस्मयमानं मुखम्
✊🏿	उद्धृतमुष्टिः कृष्णत्वक्स्वरः
👊	आगच्छन् मुष्टिः
👊🏻	oncoming fist: हल्के त्वचास्वरः
👊🏼	आगामी मुष्टिः मध्यम-हल्का त्वचास्वरः
👊🏽	आगामी मुष्टिः मध्यमत्वक्स्वरः
👊🏾	आगामी मुष्टिः मध्यम-कृष्णत्वक्-वर्णः
👊🏿	आगामी मुष्टिः : कृष्णत्वक्स्वरः
🤛	वाममुखः मुष्टिः
🤛🏻	वाममुखी मुष्टिः लघुत्वक्स्वरः
🤛🏼	वाममुखी मुष्टिः मध्यम-हल्का त्वचास्वरः
🤛🏽	वाममुखी मुष्टिः मध्यमत्वक्स्वरः
🤛🏾	वाममुखी मुष्टिः मध्यम-कृष्णत्वक्-वर्णः
🤛🏿	वाममुखी मुष्टिः कृष्णत्वक्स्वरः
🤜	दक्षिणमुख मुष्टिः
🤜🏻	दक्षिणमुखी मुष्टिः लघुत्वक्स्वरः
🤜🏼	दक्षिणमुखी मुष्टिः मध्यम-हल्का त्वचास्वरः
🤜🏽	दक्षिणमुखी मुष्टिः मध्यमत्वक्स्वरः
🤜🏾	दक्षिणमुखी मुष्टिः मध्यम-कृष्णत्वक्-वर्णः
🤜🏿	दक्षिणमुखी मुष्टिः कृष्णत्वक्स्वरः
🤚	हस्तस्य पृष्ठं उन्नतम्
🤚🏻	हस्तस्य पृष्ठं उन्नतम् : हल्के त्वचास्वरः
🤚🏼	हस्तस्य पृष्ठं उन्नतम् : मध्यम-लघु त्वचास्वरः
🤚🏽	हस्तस्य पृष्ठभागः उन्नतः : मध्यमत्वक्स्वरः
🤚🏾	हस्तस्य पृष्ठं उन्नतम् : मध्यम-कृष्णत्वक्-वर्णः
🤚🏿	हस्तस्य पृष्ठं उन्नतम् : कृष्णत्वक्स्वरः
👋	हस्तं क्षोभयन्
👋🏻	हस्तं लहराति: हल्के त्वचास्वरः
👋🏼	लहरान् हस्तः मध्यम-हल्का त्वचास्वरः
👋🏽	हस्तं लहरान् मध्यमत्वक्स्वरः
👋🏾	लहरान् हस्तः मध्यम-कृष्णत्वक्-वर्णः
👋🏿	हस्तं लहराति: कृष्णत्वक्स्वरः
🤟	प्रेम-त्वं इशारा
🤟🏻	love-you gesture: हल्के त्वचास्वरः
🤟🏼	love-you gesture: मध्यम-हल्का त्वचास्वरः
🤟🏽	love-you gesture: मध्यम त्वचास्वरः
🤟🏾	love-you gesture: मध्यम-कृष्णत्वक्स्वरः
🤟🏿	love-you gesture: कृष्णत्वक्स्वरः
✍️	लेखनहस्तः
✍	लेखनहस्तः
✍🏻	लेखनहस्तः लघुत्वक्स्वरः
✍🏼	लेखनहस्तः मध्यम-हल्का त्वचास्वरः
✍🏽	लेखनहस्तः मध्यमत्वक्स्वरः
✍🏾	लेखनहस्तः मध्यम-कृष्णत्वक्स्वरः
✍🏿	लेखनहस्तः कृष्णत्वक्स्वरः
👏	हस्तौ ताडयन्
👏🏻	हस्तौ ताडनाम् : हल्के त्वचास्वरः
👏🏼	हस्तौ ताडनाम् : मध्यम-हल्का त्वचास्वरः
👏🏽	हस्तौ ताडनाम् : मध्यमत्वक्स्वरः
👏🏾	हस्तौ ताडनाम् : मध्यम-कृष्णत्वक्-वर्णः
👏🏿	हस्तौ ताडनाम् : कृष्णत्वक्स्वरः
👐	हस्तौ उद्घाटितौ
👐🏻	open hands: हल्के त्वचास्वरः
👐🏼	open hands: मध्यम-हल्के त्वचास्वरः
👐🏽	मुक्तहस्तः मध्यमत्वक्स्वरः
👐🏾	open hands: मध्यम-कृष्णत्वक्स्वरः
👐🏿	open hands: कृष्णत्वक्स्वरः
🙌	हस्तौ उत्थापयन्
🙌🏻	हस्तौ उत्थापनम् : हल्के त्वचास्वरः
🙌🏼	हस्तौ उत्थापनम् : मध्यम-हल्के त्वचास्वरः
🙌🏽	हस्तौ उत्थापनम् : मध्यमत्वक्स्वरः
🙌🏾	हस्तौ उत्थापनम् : मध्यम-कृष्णत्वक्-वर्णः
🙌🏿	हस्तौ उत्थापनम् : कृष्णत्वक्स्वरः
🤲	तालयोः एकत्र उपरि
🤲🏻	हस्ततलाः एकत्र उपरि: हल्के त्वचास्वरः
🤲🏼	हस्ततलाः एकत्र उपरि : मध्यम-हल्केन त्वचास्वरः
🤲🏽	तालुकयोः एकत्र उपरि : मध्यमत्वक्स्वरः
🤲🏾	तालुकयोः एकत्र उपरि : मध्यम-कृष्णत्वक्-वर्णः
🤲🏿	तालुकयोः एकत्र उपरि : कृष्णत्वक्वर्णः
🙏	कृताञ्जलिः
🙏🏻	folded hands: हल्के त्वचास्वरः
🙏🏼	folded hands: मध्यम-हल्के त्वचास्वरः
🙏🏽	संपुटितहस्तः मध्यमत्वक्स्वरः
🙏🏾	संपुटितहस्तः मध्यम-कृष्णत्वक्-वर्णः
🙏🏿	संपुटितहस्ताः कृष्णत्वक्स्वरः
🤝	हस्तप्रहारः
💅	नखचमकम्
💅🏻	नेलपॉलिशः हल्के त्वचास्वरः
💅🏼	नेलपॉलिशः मध्यम-हल्का त्वचास्वरः
💅🏽	नेलपॉलिशः मध्यमत्वक्स्वरः
💅🏾	नेलपॉलिशः मध्यम-गहरे त्वचास्वरः
💅🏿	नेलपॉलिशः कृष्णवर्णीयत्वक्स्वरः
👂	कर्ण
👂🏻	कर्णः लघुत्वक्वर्णः
👂🏼	कर्णः मध्यम-हल्का त्वचावर्णः
👂🏽	कर्णः मध्यमत्वक्वर्णः
👂🏾	कर्णः मध्यम-कृष्णत्वक्-वर्णः
👂🏿	कर्णः कृष्णत्वक्वर्णः
👃	नासिका
👃🏻	नासिका: हल्के त्वचास्वरः
👃🏼	नासिका : मध्यम-हल्के त्वचास्वर
👃🏽	नासिका : मध्यमत्वक्स्वरः
👃🏾	नासिका : मध्यम-कृष्णत्वक्-वर्णः
👃🏿	नासिका: कृष्णत्वक्स्वरः
🦰	रक्तकेशाः
🦱	कुञ्चितकेशाः
🦲	गण्डः
🦳	श्वेतकेशाः
👣	पदचिह्नानि
👀	नेत्राः
👁️	नेत्र
👁	नेत्र
👁️‍🗨️	वाक्बुद्बुदे नेत्रम्
👁‍🗨️	वाक्बुद्बुदे नेत्रम्
👁️‍🗨	वाक्बुद्बुदे नेत्रम्
👁‍🗨	वाक्बुद्बुदे नेत्रम्
🧠	मस्तिष्क
🦴	अस्थि
🦷	दंत
👅	जिह्वा
👄	मुख
💋	चुम्बन चिह्न
💘	हृदयं बाणेन सह
❤️	रक्तहृदयम्
❤	रक्तहृदयम्
💓	हृदयं धड़कति
💔	भग्नहृदयम्
💕	हृदयद्वयम्
💖	स्फुरद् हृदयम्
💗	वर्धमानं हृदयम्
💙	नीलहृदयम्
💚	हरितहृदयम्
💛	पीतहृदयम्
🧡	नारङ्ग हृदयम्
💜	बैंगनी हृदयम्
🖤	कृष्णहृदयम्
💝	हृदयं पट्टिकायुक्तम्
💞	परिभ्रमन्तः हृदयाः
💟	हृदय अलङ्कारः
❣️	गुरु हृदय उद्घोष
❣	गुरु हृदय उद्घोष
💌	प्रेमपत्रम्
💤	zzz
💢	क्रोध प्रतीक
💣	बम्बः
💥	टकरावः
💦	स्वेदबिन्दवः
💨	दूरं द्रुतं गच्छति
💫	भ्रामरिन्
💬	वाक् गुब्बारे
🗨️	वामवाक्बुद्बुदः
🗨	वामवाक्बुद्बुदः
🗯️	सम्यक् क्रोध बुदबुदा
🗯	सम्यक् क्रोध बुदबुदा
💭	चिन्तितवान् गुब्बारे
🕳️	छिद्र
🕳	छिद्र
👓	चषकाः
🕶️	सूर्यचक्षुः
🕶	सूर्यचक्षुः
🥽	चक्षुषः
🥼	प्रयोगशाला कोट
👔	कण्ठबन्धः
👕	टी-शर्ट
👖	जीन्स
🧣	उत्तरीय
🧤	हस्तत्राणम्
🧥	प्रवारकः
🧦	पादकोश
👗	परिधानं
👘	किमोनो
👙	बिकिनी
👚	स्त्रीवस्त्रम्
👛	स्यूत
👜	हस्तपुटम्
👝	क्लच बैग
🛍️	शॉपिंग बैग्स
🛍	शॉपिंग बैग्स
🎒	विद्यालयस्य पृष्ठपुटम्
👞	मनुष्यस्य जूता
👟	धावनजूता
🥾	पदयात्रा बूट
🥿	स्त्रियाः समतलजूता
👠	उच्चपार्ष्णियुक्तः जूता
👡	स्त्रीपादुकम्
👢	स्त्रियाः बूटम्
👑	राजमुकुट
👒	स्त्रियाः टोपी
🎩	शीर्ष टोपी
🎓	स्नातक टोपी
🧢	बिलयुक्तः टोपी
⛑️	उद्धारकर्मचारिणः शिरस्त्राणं
⛑	उद्धारकर्मचारिणः शिरस्त्राणं
📿	प्रार्थना मणिः
💄	अधररञ्जनम्
💍	वर्तुल
💎	रत्नपाषाणः
🐵	वानरमुखम्
🐒	वानरः
🦍	गोरिल्ला
🐶	श्वमुखम्
🐕	कुक्कुरः
🐩	पूडल
🐺	वृकमुखम्
🦊	शृगालमुखम्
🦝	रेकून इति
🐱	बिडालमुखम्
🐈	मार्जारः
🦁	सिंहमुखम्
🐯	व्याघ्रमुखम्
🐅	व्याघ्रः
🐆	तेन्दुः
🐴	अश्वमुखम्
🐎	घोटकः
🦄	एकशृङ्गमुखम्
🦓	ज़ेबरा
🦌	मृग
🐮	गोमुखः
🐂	वृषभ
🐃	जलमहिषः
🐄	गो
🐷	शूकरमुखम्
🐖	सुकरः
🐗	वराहः
🐽	शूकरनासिका
🐏	रम्
🐑	एवै
🐐	अजा
🐪	उष्ट्रः
🐫	द्विकुब्ज उष्ट्रः
🦙	लमा
🦒	जिराफ इति
🐘	गज
🦏	गैण्डा
🦛	नीलगायः
🐭	मूषकमुखम्
🐁	मूषकः
🐀	मूषकः
🐹	हम्स्टर मुखम्
🐰	शशमुखम्
🐇	शशकः
🐿️	चिपमङ्कः
🐿	चिपमङ्कः
🦔	बगुला
🦇	बट्
🐻	ऋक्षमुखम्
🐨	कोआला
🐼	पाण्डा मुखम्
🦘	कंगारू
🦡	बदः
🐾	पंजा मुद्रयति
🦃	तुर्की
🐔	कुक्कुट
🐓	कुक्कुटः
🐣	हैचिंग चिक्
🐤	शिशुः पिण्डः
🐥	अग्रमुखः शिशुः पिण्डः
🐦	पक्षी
🐧	पेंगुइन
🕊️	कपोत इति
🕊	कपोत इति
🦅	गरुड
🦆	कादम्ब
🦢	हंसः
🦉	उलूक
🦚	मयूरः
🦜	शुकः
🐸	मण्डूकमुखम्
🐊	ग्राहः
🐢	कच्छप
🦎	गृहगोदिका
🐍	सर्प
🐲	अजगरमुखम्
🐉	अजगरः
🦕	सौरोपोड
🦖	टी-रेक्स
🐳	स्फुटतिमिङ्गलः
🐋	तिमिङ्गिल
🐬	डॉल्फिन इति
🐟	मीन
🐠	उष्णकटिबंधीय मत्स्याः
🐡	फूत्कारमत्स्यम्
🦈	मकरः
🐙	अष्टपः
🐚	सर्पिल शंख
🦀	कर्क
🦞	लॉबस्टर इति
🦐	गनालिन
🦑	स्क्विड
🐌	शम्बूक
🦋	चित्रपतङ्ग
🐛	मत्कुण
🐜	अन्त
🐝	मधुमक्षिका
🐞	लेडी बीटल
🦗	क्रिकेट् इति
🕷️	मकरकः
🕷	मकरकः
🕸️	मकरजालम्
🕸	मकरजालम्
🦂	वृश्चिकः
🦟	मशकः
🦠	सूक्ष्मजीव
💐	गुलदस्ता
🌸	चेरीपुष्पम्
💮	श्वेतपुष्पम्
🏵️	गुलदस्ता
🏵	गुलदस्ता
🌹	गुलाबम्
🥀	मृदु पुष्पम्
🌺	हिबिस्कस
🌻	सूर्यपुष्प
🌼	पुष्पम्
🌷	तुलिप्
🌱	अंकुरः
🌲	सदाहरिद्रः वृक्षः
🌳	पर्णपाती वृक्षः
🌴	तालवृक्षः
🌵	कैक्टसः
🌾	तण्डुलानां गुच्छः
🌿	ओषधिः
☘️	शम्रोक्
☘	शम्रोक्
🍀	चतुःपत्रं तिलम्
🍁	मेपलपत्रम्
🍂	पतितं पत्रम्
🍃	पत्रं वायुना फडफडाति
🍇	द्राक्षा
🍈	खरबूजः
🍉	कालिङ्ग
🍊	कीनू
🍋	निम्बूकः
🍌	कदल
🍍	अनास
🥭	आमः
🍎	रक्तं सेबम्
🍏	हरित सेब
🍐	अमृत
🍑	आरुक
🍒	चेरी
🍓	तृणबदर
🥝	किवी फलम्
🍅	रक्तफल
🥥	नारिकेलम्
🥑	एवोकाडो
🍆	वृन्ताकी
🥔	आलूः
🥕	गार्जर
🌽	कुक्कुटस्य कर्णः
🌶️	उष्णमरिचम्
🌶	उष्णमरिचम्
🥒	कर्कटी
🥬	पर्णयुक्तं हरितम्
🥦	ब्रोकोली
🍄	मशरूमं
🥜	मूंगफली
🌰	चेस्टनट्
🍞	रोटिका
🥐	क्रोइसैन्ट्
🥖	बगुएट् रोटिका
🥨	प्रेट्ज़ेल
🥯	बैगेल
🥞	प्यानकेक्स
🧀	पनीरस्य किलः
🍖	अस्थि उपरि मांसम्
🍗	कुक्कुटस्य पादः
🥩	मांसस्य छिन्नम्
🥓	बेकन
🍔	हैम्बर्गरः
🍟	फ्रेंच फ्राइस्
🍕	पिज्जा
🌭	हॉट डॉग
🥪	सैण्डविच
🌮	टैको
🌯	बुरिटो
🥙	भरणं सपाटरोटिका
🥚	अंड
🍳	पाक
🥘	अन्नस्य अतल्लीन कड़ाही
🍲	अन्नस्य घटः
🥣	चम्मचेन सह कटोरा
🥗	हरित सलाद
🍿	पोप्कॉर्न्
🧂	लवणं
🥫	डिब्बाबन्दभोजनम्
🍱	बेन्टो पेटी
🍘	तण्डुलस्य पटाखा
🍙	तण्डुलगोलकम्
🍚	पक्त्वा तण्डुलाः
🍛	करी तण्डुलः
🍜	वाष्पयुक्तं कटोरा
🍝	स्पेगेटी
🍠	भृष्टं मधुरं आलू
🍢	ओडेन्
🍣	सुशी
🍤	तले झींगा
🍥	मत्स्यकेकः भ्रामरीयुक्तः
🥮	चन्द्रकेकः
🍡	डङ्गो
🥟	डम्पलिंग्
🥠	भाग्य कुकी
🥡	takeout box
🍦	मृदु आइसक्रीम
🍧	मुण्डितः हिमः
🍨	पयोहिम
🍩	डोनट्
🍪	कुकी
🎂	जन्मदिनस्य केकः
🍰	शॉर्टकेक
🧁	कपकेकः
🥧	पाई
🍫	चॉकलेट बार
🍬	मिष्टान्नम्
🍭	लोलीपोप
🍮	कस्टर्ड्
🍯	मधुघटः
🍼	शिशुपुटम्
🥛	क्षीरस्य काचः
☕	उष्णपानम्
🍵	चायकपः हस्तं विना
🍶	सर्पः
🍾	पोपिंग कार्क् सह शीशी
🍷	मद्यकाचः
🍸	काकटेल् काच
🍹	उष्णकटिबंधीय पेयम्
🍺	बीयर मग
🍻	क्लिन्किंग बीयर मग्स
🥂	चक्षुषः ध्वनिः
🥃	टम्बलर ग्लास
🥤	तृणा सह चषकम्
🥢	चॉपस्टिकः
🍽️	हंसकं छूरी च प्लेट् सह
🍽	हंसकं छूरी च प्लेट् सह
🍴	हंसः छूरी च
🥄	चमस
🔪	पाकशाला छूरी
🏺	अम्फोरा
🌍	यूरोप-आफ्रिका दर्शयति भूमण्डलम्
🌎	अमेरिकादेशं दर्शयन् भूमण्डलम्
🌏	एशिया-ऑस्ट्रेलिया दर्शयति भूमण्डल
🌐	मेरिडियनयुक्तः भूमण्डलः
🗺️	विश्व मानचित्र
🗺	विश्व मानचित्र
🗾	जापानस्य नक्शा
🧭	कम्पासः
🏔️	हिमाच्छादितः पर्वतः
🏔	हिमाच्छादितः पर्वतः
⛰️	पर्वत
⛰	पर्वत
🌋	ज्वालामुखी
🗻	माउण्ट फुजि
🏕️	शिविरम्
🏕	शिविरम्
🏖️	छत्रेण सह समुद्रतटः
🏖	छत्रेण सह समुद्रतटः
🏜️	मरुभूमिः
🏜	मरुभूमिः
🏝️	मरुभूमिद्वीपः
🏝	मरुभूमिद्वीपः
🏞️	राष्ट्रीय उद्यान
🏞	राष्ट्रीय उद्यान
🏟️	क्रीडाङ्गणम्
🏟	क्रीडाङ्गणम्
🏛️	शास्त्रीय भवन
🏛	शास्त्रीय भवन
🏗️	भवननिर्माणम्
🏗	भवननिर्माणम्
🧱	इष्टकाः
🏘️	गृहाणि
🏘	गृहाणि
🏚️	परित्यक्तं गृहम्
🏚	परित्यक्तं गृहम्
🏠	गृहम्
🏡	उद्यानयुक्तं गृहम्
🏢	कार्यालय भवन
🏣	जापानी डाकघर
🏤	डाकघर
🏥	चिकित्सालय
🏦	कोश
🏨	वसतिगृह
🏩	love hotel
🏪	सुविधा भण्डार
🏫	विद्यालयः
🏬	विभागीय भण्डार
🏭	यन्त्रशाला
🏯	जापानी दुर्गः
🏰	प्रासाद
💒	विवाह
🗼	टोक्यो गोपुरम्
🗽	स्वातन्त्र्यस्य प्रतिमा
⛪	चर्च
🕌	मस्जिद
🕍	सभागृहम्
⛩️	शिन्तो तीर्थ
⛩	शिन्तो तीर्थ
🕋	काबा
⛲	फव्वारा
⛺	पटमण्डप
🌁	नभस्य
🌃	नक्षत्रैः सह रात्रौ
🏙️	नगरदृश्यम्
🏙	नगरदृश्यम्
🌄	पर्वतानाम् उपरि सूर्योदयः
🌅	सूर्योदयः
🌆	गोधूलिसमये नगरदृश्यम्
🌇	सूर्यास्त
🌉	रात्रौ सेतुः
♨️	उष्णस्रोताः
♨	उष्णस्रोताः
🌌	क्षीरमार्गः
🎠	हिंडोला अश्वः
🎡	फेरिस् चक्रम्
🎢	रोलर कोस्टर
💈	नाई स्तम्भः
🎪	सर्कस तंबू
🚂	लोकोमोटिव
🚃	रेलमार्गयानम्
🚄	उच्चगतियुक्तं रेलयानम्
🚅	गोली रेलगाड़ी
🚆	रेलयानम्
🚇	मेट्रो
🚈	लघु रेल
🚉	स्थानः
🚊	ट्राम
🚝	एकरेल
🚞	पर्वतरेलमार्गः
🚋	ट्राम कार
🚌	बस
🚍	आगामि बस
🚎	ट्रालीबस
🚐	मिनीबस
🚑	एम्बुलेन्स
🚒	अग्निशामकयन्त्रम्
🚓	पुलिस कार
🚔	आगच्छन् पुलिसकारः
🚕	टैक्सी
🚖	आगामी टैक्सी
🚗	वाहनम्
🚘	आगच्छन्तं वाहनम्
🚙	खेल उपयोगिता वाहन
🚚	वितरण ट्रक
🚛	आर्टिक्युलेटेड लॉरी
🚜	ट्रैक्टर
🚲	द्विचक्रिका
🛴	किक स्कूटर
🛹	स्केटबोर्ड
🛵	मोटर स्कूटर
🚏	बसस्थानकम्
🛣️	मोटरमार्गः
🛣	मोटरमार्गः
🛤️	रेलमार्गः
🛤	रेलमार्गः
🛢️	तैलस्य ढोलः
🛢	तैलस्य ढोलः
⛽	ईंधन पम्प
🚨	पुलिस कार प्रकाश
🚥	क्षैतिज यातायातप्रकाश
🚦	ऊर्ध्वाधर यातायातप्रकाश
🛑	stop sign
🚧	संरचना
⚓	लाङ्गल
⛵	पाल नौका
🛶	नावः
🚤	वेगनौका
🛳️	यात्री पोत
🛳	यात्री पोत
⛴️	नौकायानम्
⛴	नौकायानम्
🛥️	मोटर नौका
🛥	मोटर नौका
🚢	नौका
✈️	विमानम्
✈	विमानम्
🛩️	लघु विमानम्
🛩	लघु विमानम्
🛫	विमानस्य प्रस्थानम्
🛬	विमानस्य आगमनम्
💺	आसन
🚁	हेलिकॉप्टर
🚟	निलम्बन रेलमार्ग
🚠	पर्वतकेबलमार्गः
🚡	हवाई ट्राममार्ग
🛰️	उपग्रहः
🛰	उपग्रहः
🚀	रॉकेट
🛸	उड्डयन तश्तरी
🛎️	बेलहॉप घण्टा
🛎	बेलहॉप घण्टा
🧳	परिच्छद
⌛	वालुकघटिका कृता
⏳	वालुकघटिका न कृता
⌚	घटी
⏰	अलार्म घड़ी
⏱️	स्टॉपवॉच
⏱	स्टॉपवॉच
⏲️	समयनिर्धारक घड़ी
⏲	समयनिर्धारक घड़ी
🕰️	mantelpiece घण्टा
🕰	mantelpiece घण्टा
🕛	द्वादशवादनम्
🕧	द्वादशत्रिंशत्
🕐	एकं वादनम्
🕜	एकत्रिंशत्
🕑	द्विवादनम्
🕝	द्वित्रिंशत्
🕒	त्रिवादनम्
🕞	त्रिंशत्
🕓	चतुर्वादनम्
🕟	चतुःत्रिंशत्
🕔	पञ्चवादनम्
🕠	पञ्चत्रिंशत्
🕕	षड्वादने
🕡	षट्त्रिंशत्
🕖	सप्तवादने
🕢	सप्तत्रिंशत्
🕗	अष्टवादने
🕣	अष्टत्रिंशत्
🕘	नववादने
🕤	नवत्रिंशत्
🕙	दशवादनम्
🕥	दशत्रिंशत्
🕚	एकादशवादने
🕦	एकादशत्रिंशत्
🌑	अमावस्या
🌒	मोमयुक्तः अर्धचन्द्रः
🌓	प्रथम चतुर्थांश चन्द्रमा
🌔	मोमकरणं गिब्बसचन्द्रम्
🌕	पूर्णिमा
🌖	क्षीणमानं गिब्बसचन्द्रम्
🌗	अन्तिमचतुर्थांशचन्द्रः
🌘	क्षीणः अर्धचन्द्रः
🌙	अर्धचन्द्र
🌚	अमावस्या मुखम्
🌛	प्रथम चतुर्थांश चन्द्रमुख
🌜	अन्तिमचतुर्थांशं चन्द्रमुखम्
🌡️	थर्मामीटर्
🌡	थर्मामीटर्
☀️	सूर्य
☀	सूर्य
🌝	पूर्णिमा मुखम्
🌞	मुखेन सह सूर्यः
⭐	नक्षत्र
🌟	दीप्ततारकम्
🌠	शूटिंग् तारा
☁️	मेघ
☁	मेघ
⛅	मेघस्य पृष्ठतः सूर्यः
⛈️	विद्युत्वृष्ट्या सह मेघः
⛈	विद्युत्वृष्ट्या सह मेघः
🌤️	लघुमेघस्य पृष्ठतः सूर्यः
🌤	लघुमेघस्य पृष्ठतः सूर्यः
🌥️	बृहत् मेघस्य पृष्ठतः सूर्यः
🌥	बृहत् मेघस्य पृष्ठतः सूर्यः
🌦️	वर्षामेघस्य पृष्ठतः सूर्यः
🌦	वर्षामेघस्य पृष्ठतः सूर्यः
🌧️	वर्षा सह मेघः
🌧	वर्षा सह मेघः
🌨️	मेघः हिमयुक्तः
🌨	मेघः हिमयुक्तः
🌩️	मेघः विद्युत्युक्तः
🌩	मेघः विद्युत्युक्तः
🌪️	व्याघ्रः
🌪	व्याघ्रः
🌫️	धूमिका
🌫	धूमिका
🌬️	वायुमुखम्
🌬	वायुमुखम्
🌀	चक्रवातः
🌈	इन्द्रधनुषः
🌂	पिहित छत्रम्
☂️	छात्र
☂	छात्र
☔	वर्षाबिन्दुभिः सह छत्रम्
⛱️	भूमौ छत्रम्
⛱	भूमौ छत्रम्
⚡	उच्च वोल्टेज
❄️	हिमपातः
❄	हिमपातः
☃️	हिमपुरुषः
☃	हिमपुरुषः
⛄	हिमपुरुषः हिमरहितः
☄️	धूमकेतुः
☄	धूमकेतुः
🔥	अग्निः
💧	बिन्दुः
🌊	जलतरङ्गः
🎃	जक्-ओ-दीपः
🎄	क्रिसमसवृक्षः
🎆	आतिशबाजी
🎇	स्पार्कलर
🧨	पटाखा
✨	स्फुरति
🎈	गुब्बारा
🎉	पार्टी पोपर
🎊	कंफ़ेद्दी कन्दुक
🎋	तनबता वृक्षः
🎍	पाइन अलङ्कारः
🎎	जापानी गुडिया
🎏	कार्प स्ट्रीमर
🎐	वायुचिमे
🎑	चन्द्रदर्शनसमारोहः
🧧	रक्त लिफाफः
🎀	पट्टिका
🎁	वेष्टित उपहार
🎗️	स्मरण पट्टिका
🎗	स्मरण पट्टिका
🎟️	प्रवेशटिकटम्
🎟	प्रवेशटिकटम्
🎫	टिकटम्
🎖️	सैन्यपदकम्
🎖	सैन्यपदकम्
🏆	ट्राफी
🏅	क्रीडापदकम्
🥇	प्रथम स्थान पदक
🥈	द्वितीय स्थान पदक
🥉	तृतीय स्थान पदक
⚽	फुटबॉलकन्दुकम्
⚾	बेसबॉल
🥎	सॉफ्टबॉल
🏀	बास्केटबॉल
🏐	वॉलीबॉल
🏈	अमेरिकन फुटबॉल
🏉	रग्बी फुटबॉल
🎾	टेनिसः
🥏	उड्डयनचक्रम्
🎳	गेन्दबाजी
🏏	क्रिकेटक्रीडा
🏑	क्षेत्रहॉकी
🏒	हिमहॉकी
🥍	लैक्रोस् इति
🏓	पिंग पोङ्ग इति
🏸	बैडमिण्टन
🥊	मुक्केबाजी दस्ताना
🥋	युद्धकला वर्दी
🥅	लक्ष्यजालम्
⛳	छिद्रे ध्वजः
⛸️	हिम-स्केट्
⛸	हिम-स्केट्
🎣	मत्स्यपालनस्तम्भः
🎽	धावन् शर्टः
🎿	स्की
🛷	स्लेज्
🥌	कर्लिंग पाषाणः
🎯	प्रत्यक्षः प्रहारः
🎱	कुण्डः ८ कन्दुकः
🔮	स्फटिकगोलकम्
🧿	नाजर ताबीज
🎮	वीडियो गेम
🕹️	जॉयस्टिक
🕹	जॉयस्टिक
🎰	स्लॉट मशीन
🎲	game die
🧩	जिगसॉ
🧸	टेडी बियर
♠️	फालकसूटः
♠	फालकसूटः
♥️	हृदय सूट
♥	हृदय सूट
♦️	हीरकसूटः
♦	हीरकसूटः
♣️	क्लब सूट
♣	क्लब सूट
♟️	शतरंज प्यादा
♟	शतरंज प्यादा
🃏	जोकर
🀄	महजोङ्ग लाल अजगर
🎴	पुष्पक्रीडापत्तेः
🎭	प्रदर्शनकला
🖼️	फ्रेमयुक्तं चित्रम्
🖼	फ्रेमयुक्तं चित्रम्
🎨	कलाकार पैलेट
🧵	सूत्र
🧶	सूत्रम्
🔇	निःशब्दः वक्ता
🔈	स्पीकर न्यून मात्रा
🔉	वक्ता मध्यम मात्रा
🔊	स्पीकर उच्च मात्रा
📢	लाउडस्पीकर
📣	मेगाफोन
📯	डाकशृङ्गः
🔔	घण्टा
🔕	स्लैश सह घण्टा
🎼	संगीतस्य स्कोरः
🎵	संगीतस्य स्वरः
🎶	संगीतस्वरम्
🎙️	स्टूडियो माइक्रोफोन
🎙	स्टूडियो माइक्रोफोन
🎚️	स्तर स्लाइडर
🎚	स्तर स्लाइडर
🎛️	नियन्त्रणगुटिका
🎛	नियन्त्रणगुटिका
🎤	माइक्रोफोन
🎧	हेडफोन
📻	रेडियो
🎷	सैक्सोफोन
🎸	गिटार
🎹	संगीत कीबोर्ड
🎺	तुरही
🎻	वायलिन
🥁	ढोलः
📱	मोबाईल फोन
📲	बाणसहितं मोबाईलफोनम्
☎️	दूरभाषः
☎	दूरभाषः
📞	दूरभाषग्राहकः
📟	पेजर
📠	फैक्स मशीन
🔋	विद्युत्कोष
🔌	विद्युत् प्लग
💻	लैपटॉप कम्प्यूटर
🖥️	डेस्कटॉप कम्प्यूटर
🖥	डेस्कटॉप कम्प्यूटर
🖨️	मुद्रकः
🖨	मुद्रकः
⌨️	कीबोर्ड
⌨	कीबोर्ड
🖱️	सङ्गणकमूषकः
🖱	सङ्गणकमूषकः
🖲️	trackball
🖲	trackball
💽	सङ्गणकस्य डिस्कः
💾	फ्लॉपी डिस्क
💿	ऑप्टिकल डिस्क
📀	dvd
🧮	अबकस
🎥	चलचित्रकॅमेरा
🎞️	चलचित्रचतुष्कोणम्
🎞	चलचित्रचतुष्कोणम्
📽️	चलचित्रप्रक्षेपकम्
📽	चलचित्रप्रक्षेपकम्
🎬	clapper board
📺	दूरदर्शनम्
📷	कॅमेरा
📸	फ़्लैश सहित कॅमेरा
📹	विडियो कैमरा
📼	वीडियोकैसेट्
🔍	आवर्धककाचः वामभागे तिर्यक्
🔎	आवर्धककाचः दक्षिणतः तिर्यक्
🕯️	मोमबत्ती
🕯	मोमबत्ती
💡	बल्बः
🔦	टॉर्च
🏮	लाल कागज लालटेन
📔	अलङ्कारिक आवरणयुक्तं नोटबुकम्
📕	बन्द पुस्तक
📖	उद्घाटितं पुस्तकम्
📗	हरित पुस्तक
📘	नीलं पुस्तकम्
📙	नारङ्ग पुस्तक
📚	पुस्तकानि
