😀	ꯒ꯭ꯔꯤꯅꯤꯡ ꯐꯦꯁ꯫
🏒	ꯑꯥꯏꯁ ꯍꯣꯀꯤ꯫
🥍	ꯂꯥꯛꯔꯣꯁ ꯇꯧꯕꯥ꯫
🏓	ꯄꯤꯡ ꯄꯣꯡ꯫
🏸	ꯕꯦꯗꯃꯤꯟꯇꯟ ꯇꯧꯕꯥ꯫
🥊	ꯕꯣꯛꯁꯤꯡ ꯒ꯭ꯂꯣꯕ꯫
🥋	ꯃꯥꯔꯁꯜ ꯑꯥꯔꯇꯀꯤ ꯌꯨꯅꯤꯐꯣꯔꯝ꯫
🥅	ꯒꯣꯜ ꯅꯦꯠ ꯇꯧꯕꯥ꯫
⛳	ꯍꯣꯂꯗꯥ ꯐ꯭ꯂꯦꯒ ꯇꯧꯕꯥ꯫
⛸️	ꯑꯥꯏꯁ ꯁ꯭ꯀꯦꯠ ꯇꯧꯕꯥ꯫
⛸	ꯑꯥꯏꯁ ꯁ꯭ꯀꯦꯠ ꯇꯧꯕꯥ꯫
🎣	ꯉꯥ ꯐꯥꯕꯒꯤ ꯄꯣꯠꯁꯛ꯫
🎽	ꯔꯟ ꯇꯧꯕꯥ ꯁꯔꯨꯛ꯫
🎿	ꯁ꯭ꯀꯤꯁꯤꯡ꯫
🛷	ꯁ꯭ꯂꯦꯗ ꯇꯧꯕꯥ꯫
🥌	ꯀꯨꯔꯂꯤꯡ ꯁ꯭ꯇꯣꯟ꯫
🎯	ꯗꯥꯏꯔꯦꯛꯇ ꯍꯤꯠ ꯇꯧꯕꯥ꯫
🎱	ꯄꯨꯜ ꯸ ꯕꯣꯜ꯫
🔮	ꯀ꯭ꯔꯤꯁ꯭ꯇꯦꯜ ꯕꯣꯜ꯫
🧿	ꯅꯥꯖꯥꯔ ꯑꯦꯃꯨꯂꯦꯠ ꯇꯧꯕꯥ꯫
🎮	ꯚꯤꯗꯤꯑꯣ ꯒꯦꯝ ꯑꯃꯥ꯫
🕹️	ꯖꯌꯁ꯭ꯇꯤꯛ꯫
🕹	ꯖꯌꯁ꯭ꯇꯤꯛ꯫
🎰	ꯁ꯭ꯂꯣꯠ ꯃꯦꯁꯤꯟ ꯇꯧꯕꯥ꯫
🎲	ꯒꯦꯝ ꯗꯥꯏ꯫
🧩	ꯖꯤꯒꯁꯣ꯫
🧸	ꯇꯦꯗꯤ ꯕꯦꯌꯥꯔ꯫
♠️	ꯁ꯭ꯄꯦꯗ ꯁꯨꯠ꯫
♠	ꯁ꯭ꯄꯦꯗ ꯁꯨꯠ꯫
♥️	ꯍꯥꯔꯠ ꯁꯨꯠ꯫
♥	ꯍꯥꯔꯠ ꯁꯨꯠ꯫
♦️	ꯗꯥꯏꯃꯟꯗ ꯁꯨꯠ꯫
♦	ꯗꯥꯏꯃꯟꯗ ꯁꯨꯠ꯫
♣️	ꯀ꯭ꯂꯕꯀꯤ ꯁꯨꯠ꯫
♣	ꯀ꯭ꯂꯕꯀꯤ ꯁꯨꯠ꯫
♟️	ꯆꯦꯁꯀꯤ ꯄꯣꯠꯂꯝ꯫
♟	ꯆꯦꯁꯀꯤ ꯄꯣꯠꯂꯝ꯫
🃏	ꯖꯣꯀꯥꯔ꯫
🀄	ꯃꯥꯍꯖꯣꯡ ꯂꯥꯜ ꯗ꯭ꯔꯒꯟ꯫
🎴	ꯐꯨꯜ ꯄ꯭ꯂꯦꯌꯤꯡ ꯀꯥꯔꯗꯁꯤꯡ꯫
🎭	ꯄꯔꯐꯣꯃꯤꯡ ꯑꯥꯔꯇꯁꯤꯡꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯋꯥꯐꯝ ꯀꯌꯥ ꯊꯃꯈꯤ꯫
🖼️	ꯐ꯭ꯔꯦꯝ ꯇꯧꯔꯕꯥ ꯄꯤꯀꯆꯔ꯫
🖼	ꯐ꯭ꯔꯦꯝ ꯇꯧꯔꯕꯥ ꯄꯤꯀꯆꯔ꯫
🎨	ꯑꯥꯔꯇꯤꯁ꯭ꯠ ꯄꯦꯂꯦꯠ꯫
🧵	ꯂꯪ
🧶	ꯌꯥꯔꯟ ꯇꯧꯕꯥ꯫
🔇	ꯃ꯭ꯌꯨꯇꯦꯗ ꯁ꯭ꯄꯤꯀꯥꯔ꯫
🔈	ꯁ꯭ꯄꯤꯀꯥꯔ ꯂꯣ ꯚꯣꯜꯌꯨꯝ꯫
🔉	ꯁ꯭ꯄꯤꯀꯥꯔ ꯃꯤꯗꯤꯌꯝ ꯚꯣꯜꯌꯨꯝ꯫
🔊	ꯁ꯭ꯄꯤꯀꯥꯔ ꯍꯥꯏ ꯚꯣꯜꯌꯨꯝ꯫
📢	ꯂꯥꯎꯊꯣꯛꯂꯕꯥ ꯋꯥꯍꯩꯁꯤꯡ꯫
📣	ꯃꯦꯒꯥꯐꯣꯟ ꯇꯧꯕꯥ꯫
📯	ꯄꯣꯁ꯭ꯇꯦꯜ ꯍꯣꯔꯟ ꯇꯧꯕꯥ꯫
🔔	ꯕꯦꯜ ꯇꯧꯕꯥ꯫
🔕	ꯁ꯭ꯂꯦꯁꯀꯥ ꯂꯣꯌꯅꯅꯥ ꯕꯦꯜ꯫
🎼	ꯃ꯭ꯌꯨꯖꯤꯀꯦꯜ ꯁ꯭ꯀꯣꯔ꯫
🎵	ꯃ꯭ꯌꯨꯖꯤꯀꯦꯜ ꯅꯣꯠ꯫
🎶	ꯃ꯭ꯌꯨꯖꯤꯀꯦꯜ ꯅꯣꯇꯁꯤꯡ꯫
🎙️	ꯁ꯭ꯇꯨꯗꯤꯑꯣ ꯃꯥꯏꯛꯔꯣꯐꯣꯟ ꯇꯧꯕꯥ꯫
🎙	ꯁ꯭ꯇꯨꯗꯤꯑꯣ ꯃꯥꯏꯛꯔꯣꯐꯣꯟ ꯇꯧꯕꯥ꯫
🎚️	ꯂꯦꯚꯦꯜ ꯁ꯭ꯂꯥꯏꯗꯔ ꯑꯃꯥ꯫
🎚	ꯂꯦꯚꯦꯜ ꯁ꯭ꯂꯥꯏꯗꯔ ꯑꯃꯥ꯫
🎛️	ꯀꯟꯠꯔꯣꯜ ꯅꯣꯕꯁꯤꯡ꯫
🎛	ꯀꯟꯠꯔꯣꯜ ꯅꯣꯕꯁꯤꯡ꯫
🎤	ꯃꯥꯏꯛꯔꯣꯐꯣꯟ ꯇꯧꯕꯥ꯫
🎧	ꯍꯦꯗꯐꯣꯟ ꯇꯧꯕꯥ꯫
📻	ꯔꯦꯗꯤꯑꯣꯗꯥ ꯌꯥꯑꯣꯔꯤ꯫
🎷	ꯁꯦꯛꯁꯣꯐꯣꯟ ꯍꯥꯌꯅꯥ ꯈꯉꯅꯕꯥ꯫
🎸	ꯒꯤꯇꯔ꯫
🎹	ꯃ꯭ꯌꯨꯖꯤꯀꯦꯜ ꯀꯤꯕꯣꯔꯗ꯫
🎺	ꯇ꯭ꯔꯝꯄꯦꯠ ꯇꯧꯕꯥ꯫
🎻	ꯋꯥꯏꯂꯤꯟ꯫
🥁	ꯗ꯭ꯔꯨꯝ ꯇꯧꯕꯥ꯫
📱	ꯃꯣꯕꯥꯏꯜ ꯐꯣꯟ꯫
📲	ꯃꯣꯕꯥꯏꯜ ꯐꯣꯅꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯇꯤꯔ꯫
☎️	ꯇꯦꯂꯤꯐꯣꯅꯗꯥ ꯐꯣꯟ ꯇꯧꯕꯥ꯫
☎	ꯇꯦꯂꯤꯐꯣꯅꯗꯥ ꯐꯣꯟ ꯇꯧꯕꯥ꯫
📞	ꯇꯦꯂꯤꯐꯣꯟ ꯔꯤꯁꯤꯚꯥꯔ꯫
📟	ꯄꯦꯖꯔ ꯇꯧꯕꯥ꯫
📠	ꯐꯦꯛꯁ ꯃꯦꯁꯤꯟ ꯇꯧꯕꯥ꯫
🔋	ꯕꯦꯠꯇꯔꯤ
🔌	ꯏꯂꯦꯛꯠꯔꯤꯛ ꯄ꯭ꯂꯒ꯫
💻	ꯂꯦꯄꯇꯣꯞ ꯀꯝꯞꯌꯨꯇꯔ꯫
🖥️	ꯗꯦꯁ꯭ꯀꯇꯣꯞ ꯀꯝꯞꯌꯨꯇꯔ꯫
🖥	ꯗꯦꯁ꯭ꯀꯇꯣꯞ ꯀꯝꯞꯌꯨꯇꯔ꯫
🖨️	ꯄ꯭ꯔꯤꯟꯇꯔ ꯇꯧꯕꯥ ꯌꯥꯏ꯫
🖨	ꯄ꯭ꯔꯤꯟꯇꯔ ꯇꯧꯕꯥ ꯌꯥꯏ꯫
⌨️	ꯀꯤꯕꯣꯔꯗ ꯇꯧꯕꯥ꯫
⌨	ꯀꯤꯕꯣꯔꯗ ꯇꯧꯕꯥ꯫
🖱️	ꯀꯝꯞꯌꯨꯇꯔ ꯃꯥꯎꯁ꯫
🖱	ꯀꯝꯞꯌꯨꯇꯔ ꯃꯥꯎꯁ꯫
🖲️	ꯇ꯭ꯔꯦꯀꯕꯣꯜ ꯇꯧꯕꯥ꯫
🖲	ꯇ꯭ꯔꯦꯀꯕꯣꯜ ꯇꯧꯕꯥ꯫
💽	ꯀꯝꯞꯌꯨꯇꯔ ꯗꯤꯁ꯭ꯛ ꯂꯩꯕꯥ꯫
💾	ꯐ꯭ꯂꯣꯄꯤ ꯗꯤꯁ꯭ꯛ ꯂꯩ꯫
💿	ꯑꯣꯞꯇꯤꯀꯦꯜ ꯗꯤꯁ꯭ꯛ ꯂꯩ꯫
📀	ꯗꯤ.ꯚꯤ.ꯗꯤ
🧮	ꯑꯦꯕꯥꯀꯁ꯫
🎥	ꯃꯨꯚꯤ ꯀꯦꯃꯦꯔꯥ꯫
🎞️	ꯐꯤꯜꯃ ꯐ꯭ꯔꯦꯃꯁꯤꯡ꯫
🎞	ꯐꯤꯜꯃ ꯐ꯭ꯔꯦꯃꯁꯤꯡ꯫
📽️	ꯐꯤꯜꯃ ꯄ꯭ꯔꯣꯖꯦꯛꯇꯔ ꯑꯃꯥ ꯑꯣꯏꯅꯥ ꯁꯦꯃꯈꯤ꯫
📽	ꯐꯤꯜꯃ ꯄ꯭ꯔꯣꯖꯦꯛꯇꯔ ꯑꯃꯥ ꯑꯣꯏꯅꯥ ꯁꯦꯃꯈꯤ꯫
🎬	ꯀ꯭ꯂꯦꯄꯔ ꯕꯣꯔꯗ꯫
📺	ꯇꯦꯂꯤꯚꯤꯖꯅꯗꯥ ꯂꯩꯕꯥ ꯌꯨ.ꯑꯦꯁ
📷	ꯀꯦꯃꯦꯔꯥꯗꯥ ꯌꯥꯑꯣꯔꯤ꯫
📸	ꯐ꯭ꯂꯦꯁ ꯌꯥꯑꯣꯕꯥ ꯀꯦꯃꯦꯔꯥ꯫
📹	ꯚꯤꯗꯤꯑꯣ ꯀꯦꯃꯦꯔꯥ꯫
📼	ꯚꯤꯗꯤꯑꯣ ꯀꯦꯁꯦꯠ ꯇꯧꯕꯥ꯫
🔍	ꯃꯦꯒ꯭ꯅꯤꯐꯥꯏꯌꯤꯡ ꯒ꯭ꯂꯥꯁ ꯑꯗꯨ ꯂꯦꯡꯗꯅꯥ ꯂꯩꯕꯥ꯫
🔎	ꯃꯦꯒ꯭ꯅꯤꯐꯥꯏꯌꯤꯡ ꯒ꯭ꯂꯥꯁ ꯑꯗꯨ ꯔꯥꯏꯠ ꯑꯣꯏꯅꯥ ꯇꯤꯂꯍꯅꯕꯥ꯫
🕯️	ꯀꯦꯟꯗꯜ꯫
🕯	ꯀꯦꯟꯗꯜ꯫
💡	ꯂꯥꯏꯠ ꯕꯜꯕ ꯑꯃꯥ꯫
🔦	ꯐ꯭ꯂꯥꯁꯂꯥꯏꯠ꯫
🏮	ꯂꯥꯜ ꯀꯥꯒꯖꯒꯤ ꯂꯦꯟꯇꯦꯟ꯫
📔	ꯃꯁꯛ ꯊꯣꯀꯄꯥ ꯀꯚꯔꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯅꯣꯇꯕꯨꯛ꯫
📕	ꯀ꯭ꯂꯣꯖ ꯇꯧꯔꯕꯥ ꯂꯥꯏꯔꯤꯛ꯫
📖	ꯍꯥꯡꯗꯣꯀꯄꯥ ꯂꯥꯏꯔꯤꯛ꯫
📗	ꯒ꯭ꯔꯤꯟ ꯕꯨꯛ꯫
📘	ꯕ꯭ꯂꯨ ꯕꯨꯛ꯫
📙	ꯑꯣꯔꯦꯟꯖ ꯕꯨꯛ꯫
📚	ꯂꯥꯏꯔꯤꯀꯁꯤꯡ ꯌꯥꯑꯣꯔꯤ꯫
📓	ꯅꯣꯇꯕꯨꯛ꯫
📒	ꯂꯦꯖꯔꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯋꯥꯐꯝ ꯊꯃꯈꯤ꯫
📃	ꯀꯔꯂꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯄꯦꯖ ꯑꯃꯥ꯫
📜	ꯁ꯭ꯛꯔꯣꯜ ꯇꯧꯕꯥ꯫
📄	ꯄꯦꯖ ꯑꯗꯨ ꯃꯊꯛꯇꯥ ꯌꯦꯡꯗꯨꯅꯥ ꯂꯩ꯫
📰	ꯄꯥꯎ-ꯆꯦꯗꯥ ꯐꯣꯡꯈꯤ꯫
🗞️	ꯔꯣꯜ ꯇꯧꯔꯕꯥ ꯄꯥꯎ-ꯆꯦ ꯑꯃꯥ꯫
🗞	ꯔꯣꯜ ꯇꯧꯔꯕꯥ ꯄꯥꯎ-ꯆꯦ ꯑꯃꯥ꯫
📑	ꯕꯨꯀꯃꯥꯔꯛ ꯇꯦꯕꯁꯤꯡ꯫
🔖	ꯕꯨꯀꯃꯥꯔꯛ ꯇꯧꯕꯥ꯫
🏷️	ꯃꯃꯤꯡ ꯊꯥꯟꯕ
🏷	ꯃꯃꯤꯡ ꯊꯥꯟꯕ
💰	ꯃꯅꯤ ꯕꯦꯒ ꯑꯃꯥ꯫
💴	ꯌꯦꯟ ꯕꯦꯉ꯭ꯀꯅꯣꯠ꯫
💵	ꯗꯣꯂꯔꯒꯤ ꯕꯦꯉ꯭ꯀꯅꯣꯠ ꯑꯃꯥ꯫
💶	ꯌꯨꯔꯣꯒꯤ ꯕꯦꯉ꯭ꯀꯅꯣꯠ꯫
💷	ꯄꯥꯎꯟꯗ ꯕꯦꯉ꯭ꯀꯅꯣꯠ ꯑꯃꯥ꯫
💸	ꯋꯤꯡꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯁꯦꯜ ꯄꯤꯕꯥ꯫
💳	ꯀ꯭ꯔꯦꯗꯤꯠ ꯀꯥꯔꯗ ꯇꯧꯕꯥ꯫
🧾	ꯆꯦꯅꯤꯡ
💹	ꯌꯦꯅꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯍꯦꯅꯒꯠꯂꯛꯂꯤꯕꯥ ꯆꯥꯔꯠ꯫
💱	ꯁꯦꯟ-ꯊꯨꯃꯒꯤ ꯐꯤꯕꯝ ꯐꯒꯠꯍꯅꯕꯥ꯫
💲	ꯍꯦꯚꯤ ꯗꯣꯂꯔ ꯁꯥꯏꯟ꯫
✉️	ꯆꯦꯈꯨꯝ
✉	ꯆꯦꯈꯨꯝ
📧	ꯏ-ꯃꯦꯜ ꯇꯧꯕꯥ꯫
📨	ꯂꯥꯀꯄꯥ ꯑꯦꯅꯚꯦꯂꯄꯃꯦꯟꯇ꯫
📩	ꯑꯦꯔꯣꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯑꯦꯅꯚꯦꯂꯄꯃꯦꯟꯇ꯫
📤	ꯑꯥꯎꯇꯕꯣꯛꯁ ꯇ꯭ꯔꯦꯟ ꯇꯧꯕꯥ꯫
📥	ꯏꯅꯕꯛꯁ ꯇ꯭ꯔꯦꯟ ꯇꯧꯕꯥ꯫
📦	ꯄꯣꯠꯌꯣꯝ
📫	ꯋꯥꯡꯈꯠꯄꯥ ꯐꯤꯔꯥꯂꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯊꯣꯡ ꯂꯣꯜꯂꯕꯥ ꯃꯦꯂꯕꯣꯛꯁ꯫
📪	ꯂꯣꯌꯔꯕꯥ ꯐ꯭ꯂꯦꯒꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯀ꯭ꯂꯣꯖ ꯇꯧꯔꯕꯥ ꯃꯦꯂꯕꯣꯛꯁ꯫
📬	ꯋꯥꯡꯈꯠꯄꯥ ꯐꯤꯔꯥꯂꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯦꯂꯕꯣꯛꯁ ꯍꯥꯡꯗꯣꯀꯄꯥ꯫
📭	ꯂꯣꯌꯔꯕꯥ ꯐ꯭ꯂꯦꯒ ꯂꯩꯕꯥ ꯃꯦꯂꯕꯣꯛꯁ ꯍꯥꯡꯗꯣꯀꯄꯥ꯫
📮	ꯄꯣꯁ꯭ꯇꯕꯣꯛꯁꯇꯥ ꯌꯥꯑꯣꯔꯤ꯫
🗳️	ꯕꯦꯂꯣꯠ ꯌꯥꯑꯣꯕꯥ ꯕꯦꯂꯣꯠ ꯕꯣꯛꯁ꯫
🗳	ꯕꯦꯂꯣꯠ ꯌꯥꯑꯣꯕꯥ ꯕꯦꯂꯣꯠ ꯕꯣꯛꯁ꯫
✏️	ꯄꯦꯟꯁꯤꯜ
✏	ꯄꯦꯟꯁꯤꯜ
✒️	ꯕ꯭ꯂꯦꯛ ꯅꯤꯕ꯫
✒	ꯕ꯭ꯂꯦꯛ ꯅꯤꯕ꯫
🖋️	ꯐꯣꯎꯟꯇꯦꯟ ꯄꯦꯟ꯫
🖋	ꯐꯣꯎꯟꯇꯦꯟ ꯄꯦꯟ꯫
🖊️	ꯀꯣꯂꯣꯝ
🖊	ꯀꯣꯂꯣꯝ
🖌️	ꯄꯦꯟꯇꯕ꯭ꯔꯥꯁ ꯇꯧꯕꯥ꯫
🖌	ꯄꯦꯟꯇꯕ꯭ꯔꯥꯁ ꯇꯧꯕꯥ꯫
🖍️	ꯀ꯭ꯔꯦꯌꯟ꯫
🖍	ꯀ꯭ꯔꯦꯌꯟ꯫
📝	ꯃꯦꯃꯣꯗꯥ ꯄꯤꯕꯥ꯫
💼	ꯕ꯭ꯔꯤꯐꯀꯦꯁ ꯑꯃꯥ ꯌꯥꯑꯣꯔꯤ꯫
📁	ꯐꯥꯏꯜ ꯐꯣꯜꯗꯔꯗꯥ ꯂꯩ꯫
📂	ꯐꯥꯏꯜ ꯐꯣꯜꯗꯔ ꯍꯥꯡꯗꯣꯀꯎ꯫
🗂️	ꯀꯥꯔꯗ ꯏꯟꯗꯦꯛꯁ ꯗꯤꯚꯥꯏꯗꯔꯁꯤꯡ꯫
🗂	ꯀꯥꯔꯗ ꯏꯟꯗꯦꯛꯁ ꯗꯤꯚꯥꯏꯗꯔꯁꯤꯡ꯫
📅	ꯀꯦꯂꯦꯟꯗꯔꯗꯥ ꯂꯩ꯫
📆	ꯇꯤꯌꯥꯔ-ꯑꯣꯐ ꯀꯦꯂꯦꯟꯗꯔ ꯇꯧꯕꯥ꯫
🗒️	ꯁ꯭ꯄꯥꯏꯔꯦꯜ ꯅꯣꯇꯄꯦꯗ꯫
🗒	ꯁ꯭ꯄꯥꯏꯔꯦꯜ ꯅꯣꯇꯄꯦꯗ꯫
🗓️	ꯁ꯭ꯄꯥꯏꯔꯦꯜ ꯀꯦꯂꯦꯟꯗꯔꯗꯥ ꯂꯩ꯫
🗓	ꯁ꯭ꯄꯥꯏꯔꯦꯜ ꯀꯦꯂꯦꯟꯗꯔꯗꯥ ꯂꯩ꯫
📇	ꯀꯥꯔꯗ ꯏꯟꯗꯦꯛꯁ꯫
📈	ꯆꯥꯔꯠ ꯍꯦꯅꯒꯠꯂꯀꯄꯥ꯫
📉	ꯆꯥꯔꯠ ꯍꯟꯊꯔꯀꯄꯥ꯫
📊	ꯕꯥꯔ ꯆꯥꯔꯠ ꯇꯧꯕꯥ꯫
📋	ꯀ꯭ꯂꯤꯄꯕꯣꯔꯗꯇꯥ ꯂꯩ꯫
📌	ꯄꯨꯁꯄꯤꯟ꯫
📍	ꯒꯣꯜꯗ ꯄꯨꯁꯄꯤꯟ꯫
📎	ꯄꯦꯄꯔꯛꯂꯤꯞ ꯇꯧꯕꯥ꯫
🖇️	ꯂꯤꯉ꯭ꯛ ꯇꯧꯔꯕꯥ ꯄꯦꯄꯔꯛꯂꯤꯄꯁꯤꯡ꯫
🖇	ꯂꯤꯉ꯭ꯛ ꯇꯧꯔꯕꯥ ꯄꯦꯄꯔꯛꯂꯤꯄꯁꯤꯡ꯫
📏	ꯁ꯭ꯠꯔꯦꯠ ꯁꯥꯁꯟ ꯇꯧꯕꯥ꯫
📐	ꯇ꯭ꯔꯥꯏꯑꯦꯉ꯭ꯒꯨꯂꯥꯔ ꯔꯨꯂꯔ ꯑꯣꯏꯕꯥ꯫
✂️	ꯀꯥꯇꯤ
✂	ꯀꯥꯇꯤ
🗃️	ꯀꯥꯔꯗ ꯐꯥꯏꯜ ꯕꯣꯛꯁ ꯑꯃꯥ꯫
🗃	ꯀꯥꯔꯗ ꯐꯥꯏꯜ ꯕꯣꯛꯁ ꯑꯃꯥ꯫
🗄️	ꯐꯥꯏꯜ ꯀꯦꯕꯤꯅꯦꯠ ꯇꯧꯕꯥ꯫
🗄	ꯐꯥꯏꯜ ꯀꯦꯕꯤꯅꯦꯠ ꯇꯧꯕꯥ꯫
🗑️	ꯋꯦꯁ꯭ꯇꯕꯥꯁ꯭ꯀꯦꯠ ꯇꯧꯕꯥ꯫
🗑	ꯋꯦꯁ꯭ꯇꯕꯥꯁ꯭ꯀꯦꯠ ꯇꯧꯕꯥ꯫
🔒	ꯂꯣꯛ ꯇꯧꯕꯥ꯫
🔓	ꯑꯅꯂꯣꯛ ꯇꯧꯕꯥ꯫
🔏	ꯄꯦꯅꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯂꯣꯛ ꯇꯧꯕꯥ꯫
🔐	ꯀꯤꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯂꯣꯛ ꯇꯧꯕꯥ꯫
🔑	ꯁꯣ
🗝️	ꯑꯔꯤꯕꯥ ꯀꯤ꯫
🗝	ꯑꯔꯤꯕꯥ ꯀꯤ꯫
🔨	ꯍꯥꯃꯗꯣꯀꯄꯥ꯫
⛏️	ꯈꯟꯕ
⛏	ꯈꯟꯕ
⚒️	ꯍꯥꯃꯗꯣꯀꯄꯥ ꯑꯃꯁꯨꯡ ꯄꯤꯀꯄꯥ꯫
⚒	ꯍꯥꯃꯗꯣꯀꯄꯥ ꯑꯃꯁꯨꯡ ꯄꯤꯀꯄꯥ꯫
🛠️	ꯍꯥꯃꯗꯣꯀꯄꯥ ꯑꯃꯁꯨꯡ ꯔꯦꯟꯆ ꯇꯧꯕꯥ꯫
🛠	ꯍꯥꯃꯗꯣꯀꯄꯥ ꯑꯃꯁꯨꯡ ꯔꯦꯟꯆ ꯇꯧꯕꯥ꯫
🗡️	ꯗꯥꯒꯔ ꯇꯧꯕꯥ꯫
🗡	ꯗꯥꯒꯔ ꯇꯧꯕꯥ꯫
⚔️	ꯀ꯭ꯔꯣꯁ ꯇꯧꯔꯕꯥ ꯇꯔꯦꯡꯁꯤꯡ꯫
⚔	ꯀ꯭ꯔꯣꯁ ꯇꯧꯔꯕꯥ ꯇꯔꯦꯡꯁꯤꯡ꯫
🔫	ꯄꯤꯁ꯭ꯇꯣꯜ ꯇꯧꯕꯥ꯫
🏹	ꯕꯣ ꯑꯃꯁꯨꯡ ꯑꯦꯔꯣ꯫
🛡️	ꯉꯥꯛꯊꯣꯛꯄ
🛡	ꯉꯥꯛꯊꯣꯛꯄ
🔧	ꯔꯦꯟꯆ ꯇꯧꯕꯥ꯫
🔩	ꯅꯠ ꯑꯃꯁꯨꯡ ꯕꯣꯜꯇ꯫
⚙️	ꯒꯥꯔꯤꯒꯤ ꯈꯣꯡꯖꯦꯜꯒ ꯂꯣꯏꯅꯅ ꯍꯣꯡꯕ ꯈꯨꯠꯂꯥꯏ
⚙	ꯒꯥꯔꯤꯒꯤ ꯈꯣꯡꯖꯦꯜꯒ ꯂꯣꯏꯅꯅ ꯍꯣꯡꯕ ꯈꯨꯠꯂꯥꯏ
🗜️	ꯀ꯭ꯂꯦꯝ ꯇꯧꯕꯥ꯫
🗜	ꯀ꯭ꯂꯦꯝ ꯇꯧꯕꯥ꯫
⚖️	ꯕꯦꯂꯦꯟꯁ ꯁ꯭ꯀꯦꯜ ꯇꯧꯕꯥ꯫
⚖	ꯕꯦꯂꯦꯟꯁ ꯁ꯭ꯀꯦꯜ ꯇꯧꯕꯥ꯫
🔗	ꯝꯔꯤ
⛓️	ꯆꯦꯅꯁꯤꯡ ꯌꯥꯑꯣꯔꯤ꯫
⛓	ꯆꯦꯅꯁꯤꯡ ꯌꯥꯑꯣꯔꯤ꯫
🧰	ꯇꯨꯂꯕꯣꯛꯁꯇꯥ ꯌꯥꯑꯣꯔꯤ꯫
🧲	ꯃꯦꯒ꯭ꯅꯦꯠ ꯇꯧꯕꯥ꯫
⚗️	ꯑꯦꯂꯦꯝꯕꯤꯛ ꯍꯥꯌꯅꯥ ꯀꯧꯏ꯫
⚗	ꯑꯦꯂꯦꯝꯕꯤꯛ ꯍꯥꯌꯅꯥ ꯀꯧꯏ꯫
🧪	ꯇꯦꯁ꯭ꯠ ꯇꯨꯕ ꯇꯧꯕꯥ꯫
🧫	ꯄꯦꯠꯔꯤ ꯗꯤꯁ꯫
🧬	ꯗꯤ.ꯑꯦꯟ.ꯑꯦ
🔬	ꯃꯥꯏꯛꯔꯣꯁ꯭ꯀꯣꯞ ꯇꯧꯕꯥ꯫
🔭	ꯇꯦꯂꯤꯁ꯭ꯀꯣꯞ ꯇꯧꯕꯥ꯫
📡	ꯁꯦꯇꯦꯂꯥꯏꯠ ꯑꯦꯟꯇꯦꯅꯥ ꯇꯧꯕꯥ꯫
💉	ꯁꯤꯔꯤꯟꯖ ꯇꯧꯕꯥ꯫
💊	ꯄꯤꯜ꯫
🚪	ꯊꯣꯡ꯫
🛏️	ꯐꯃꯨꯡ
🛏	ꯐꯃꯨꯡ
🛋️	ꯀꯣꯆ ꯑꯃꯁꯨꯡ ꯂꯦꯝꯄ꯫
🛋	ꯀꯣꯆ ꯑꯃꯁꯨꯡ ꯂꯦꯝꯄ꯫
🚽	ꯑꯃꯥꯡꯁꯪ
🚿	ꯍꯩꯊꯕ
🛁	ꯕꯥꯊꯇꯕꯇꯥ ꯂꯩꯕꯥ꯫
🧴	ꯂꯣꯁꯅꯒꯤ ꯕꯣꯇꯜ ꯑꯃꯥ꯫
🧷	ꯁꯦꯐꯇꯤ ꯄꯤꯟ꯫
🧹	ꯁꯨꯝꯆꯤꯠ
🧺	ꯕꯥꯁ꯭ꯀꯦꯠ ꯇꯧꯕꯥ꯫
🧻	ꯄꯦꯄꯔꯒꯤ ꯔꯣꯜ ꯑꯃꯥ꯫
🧼	ꯁꯥꯄꯣꯟ
🧽	ꯁ꯭ꯄꯣꯟꯖ ꯇꯧꯕꯥ꯫
🧯	ꯃꯩ ꯊꯥꯗꯣꯀꯄꯥ ꯌꯥꯕꯥ ꯄꯣꯠꯁꯛ꯫
🛒	ꯁꯣꯄꯤꯡ ꯀꯥꯔꯠ꯫
🚬	ꯁꯤꯒꯥꯔꯦꯠ ꯇꯧꯕꯥ꯫
⚰️	ꯀꯣꯐꯤꯟ ꯇꯧꯕꯥ꯫
⚰	ꯀꯣꯐꯤꯟ ꯇꯧꯕꯥ꯫
⚱️	ꯐꯤꯎꯅꯦꯜ ꯀꯂꯝ꯫
⚱	ꯐꯤꯎꯅꯦꯜ ꯀꯂꯝ꯫
🗿	ꯃꯣꯏ꯫
🏧	ꯑꯦ.ꯇꯤ.ꯑꯦꯝ.ꯒꯤ ꯁꯥꯏꯟ꯫
