😀	aghaidh grinning
⛹🏻‍♂	fear preabadh liathróid: ton craicinn éadrom
⛹🏼‍♂️	liathróid ag preabadh: ton craiceann meánach
⛹🏼‍♂	liathróid ag preabadh: ton craiceann meánach
⛹🏽‍♂️	fear preabadh liathróid: ton craiceann meánach
⛹🏽‍♂	fear preabadh liathróid: ton craiceann meánach
⛹🏾‍♂️	fear preabadh liathróid: ton craiceann meán-dorcha
⛹🏾‍♂	fear preabadh liathróid: ton craiceann meán-dorcha
⛹🏿‍♂️	fear preabadh liathróid: ton dorcha craicinn
⛹🏿‍♂	fear preabadh liathróid: ton dorcha craicinn
⛹️‍♀️	bean ag preabadh liathróid
⛹‍♀️	bean ag preabadh liathróid
⛹️‍♀	bean ag preabadh liathróid
⛹‍♀	bean ag preabadh liathróid
⛹🏻‍♀️	bean ag preabadh liathróid: ton craicinn éadrom
⛹🏻‍♀	bean ag preabadh liathróid: ton craicinn éadrom
⛹🏼‍♀️	bean ag preabadh: ton craiceann meánach
⛹🏼‍♀	bean ag preabadh: ton craiceann meánach
⛹🏽‍♀️	bean ag preabadh liathróid: ton craiceann meánach
⛹🏽‍♀	bean ag preabadh liathróid: ton craiceann meánach
⛹🏾‍♀️	bean ag preabadh liathróid: ton craiceann meán-dorcha
⛹🏾‍♀	bean ag preabadh liathróid: ton craiceann meán-dorcha
⛹🏿‍♀️	bean ag preabadh liathróid: ton dorcha craicinn
⛹🏿‍♀	bean ag preabadh liathróid: ton dorcha craicinn
🏋️	duine meáchain ardaithe
🏋	duine meáchain ardaithe
🏋🏻	meáchain ardaithe duine: ton craicinn éadrom
🏋🏼	meáchain ardaithe duine: ton craicinn mheán-éadrom
🏋🏽	meáchain ardaithe duine: ton craiceann meánach
🏋🏾	meáchain ardaithe duine: ton craiceann mheán-dorcha
🏋🏿	meáchain ardaithe duine: ton craicinn dorcha
🏋️‍♂️	fear ardaithe meáchain
🏋‍♂️	fear ardaithe meáchain
🏋️‍♂	fear ardaithe meáchain
🏋‍♂	fear ardaithe meáchain
🏋🏻‍♂️	fear ardaithe meáchain: ton craicinn éadrom
🏋🏻‍♂	fear ardaithe meáchain: ton craicinn éadrom
🏋🏼‍♂️	fear ardaithe meáchain: ton craicinn mheán-éadrom
🏋🏼‍♂	fear ardaithe meáchain: ton craicinn mheán-éadrom
🏋🏽‍♂️	fear ardaithe meáchain: ton craiceann meánach
🏋🏽‍♂	fear ardaithe meáchain: ton craiceann meánach
🏋🏾‍♂️	fear ardaithe meáchain: ton craiceann mheán-dorcha
🏋🏾‍♂	fear ardaithe meáchain: ton craiceann mheán-dorcha
🏋🏿‍♂️	fear ardaithe meáchain: ton craicinn dorcha
🏋🏿‍♂	fear ardaithe meáchain: ton craicinn dorcha
🏋️‍♀️	bean ardaithe meáchain
🏋‍♀️	bean ardaithe meáchain
🏋️‍♀	bean ardaithe meáchain
🏋‍♀	bean ardaithe meáchain
🏋🏻‍♀️	meáchain ardaithe bean: ton craicinn éadrom
🏋🏻‍♀	meáchain ardaithe bean: ton craicinn éadrom
🏋🏼‍♀️	meáchain ardaithe bean: ton craicinn mheán-éadrom
🏋🏼‍♀	meáchain ardaithe bean: ton craicinn mheán-éadrom
🏋🏽‍♀️	meáchain ardaithe bean: ton craiceann meánach
🏋🏽‍♀	meáchain ardaithe bean: ton craiceann meánach
🏋🏾‍♀️	meáchain ardaithe bean: ton craiceann mheán-dorcha
🏋🏾‍♀	meáchain ardaithe bean: ton craiceann mheán-dorcha
🏋🏿‍♀️	meáchain ardaithe bean: ton craicinn dorcha
🏋🏿‍♀	meáchain ardaithe bean: ton craicinn dorcha
🚴	duine ag rothaíocht
🚴🏻	duine ag rothaíocht: ton craicinn éadrom
🚴🏼	duine ag rothaíocht: ton craiceann meánach
🚴🏽	duine ag rothaíocht: ton craiceann meánach
🚴🏾	duine ag rothaíocht: ton craiceann meán-dorcha
🚴🏿	duine ag rothaíocht: ton dorcha craicinn
🚴‍♂️	fear ag rothaíocht
🚴‍♂	fear ag rothaíocht
🚴🏻‍♂️	fear rothaíocht: ton craicinn éadrom
🚴🏻‍♂	fear rothaíocht: ton craicinn éadrom
🚴🏼‍♂️	Fear rothaíocht: ton craiceann meánach
🚴🏼‍♂	Fear rothaíocht: ton craiceann meánach
🚴🏽‍♂️	fear rothaíocht: ton craiceann meánach
🚴🏽‍♂	fear rothaíocht: ton craiceann meánach
🚴🏾‍♂️	rothaíocht fear: ton craiceann meán-dorcha
🚴🏾‍♂	rothaíocht fear: ton craiceann meán-dorcha
🚴🏿‍♂️	rothaíocht fear: ton dorcha craicinn
🚴🏿‍♂	rothaíocht fear: ton dorcha craicinn
🚴‍♀️	bean ag rothaíocht
🚴‍♀	bean ag rothaíocht
🚴🏻‍♀️	rothaíocht bean: ton craicinn éadrom
🚴🏻‍♀	rothaíocht bean: ton craicinn éadrom
🚴🏼‍♀️	Rothaíocht bean: ton craiceann meánach
🚴🏼‍♀	Rothaíocht bean: ton craiceann meánach
🚴🏽‍♀️	rothaíocht bean: ton craiceann meánach
🚴🏽‍♀	rothaíocht bean: ton craiceann meánach
🚴🏾‍♀️	rothaíocht bean: ton craiceann meán-dorcha
🚴🏾‍♀	rothaíocht bean: ton craiceann meán-dorcha
🚴🏿‍♀️	rothaíocht bean: ton dorcha craicinn
🚴🏿‍♀	rothaíocht bean: ton dorcha craicinn
🚵	rothaíocht sléibhe duine
🚵🏻	duine rothaíocht sléibhe: ton craicinn éadrom
🚵🏼	rothaíocht sléibhe duine: ton craiceann meánach
🚵🏽	duine rothaíocht sléibhe: ton craiceann meánach
🚵🏾	duine rothaíocht sléibhe: ton craiceann meán-dorcha
🚵🏿	rothaíocht sléibhe duine: ton dorcha craicinn
🚵‍♂️	rothaíocht sléibhe fear
🚵‍♂	rothaíocht sléibhe fear
🚵🏻‍♂️	rothaíocht sléibhe fear: ton craicinn éadrom
🚵🏻‍♂	rothaíocht sléibhe fear: ton craicinn éadrom
🚵🏼‍♂️	rothaíocht sléibhe fear: ton craiceann meánach
🚵🏼‍♂	rothaíocht sléibhe fear: ton craiceann meánach
🚵🏽‍♂️	rothaíocht sléibhe fear: ton craiceann meánach
🚵🏽‍♂	rothaíocht sléibhe fear: ton craiceann meánach
🚵🏾‍♂️	rothaíocht sléibhe fear: ton craiceann meán-dorcha
🚵🏾‍♂	rothaíocht sléibhe fear: ton craiceann meán-dorcha
🚵🏿‍♂️	rothaíocht sléibhe fear: ton dorcha craicinn
🚵🏿‍♂	rothaíocht sléibhe fear: ton dorcha craicinn
🚵‍♀️	bean rothaíocht sléibhe
🚵‍♀	bean rothaíocht sléibhe
🚵🏻‍♀️	rothaíocht sléibhe bean: ton craicinn éadrom
🚵🏻‍♀	rothaíocht sléibhe bean: ton craicinn éadrom
🚵🏼‍♀️	rothaíocht sléibhe bean: ton craiceann meánach
🚵🏼‍♀	rothaíocht sléibhe bean: ton craiceann meánach
🚵🏽‍♀️	rothaíocht sléibhe bean: ton craiceann meánach
🚵🏽‍♀	rothaíocht sléibhe bean: ton craiceann meánach
🚵🏾‍♀️	rothaíocht sléibhe bean: ton craiceann meán-dorcha
🚵🏾‍♀	rothaíocht sléibhe bean: ton craiceann meán-dorcha
🚵🏿‍♀️	rothaíocht sléibhe bean: ton dorcha craicinn
🚵🏿‍♀	rothaíocht sléibhe bean: ton dorcha craicinn
🏎️	carr rásaíochta
🏎	carr rásaíochta
🏍️	gluaisrothar
🏍	gluaisrothar
🤸	duine cartwheeling
🤸🏻	duine cartwheeling: ton craicinn éadrom
🤸🏼	person cartwheeling: ton craiceann meánach
🤸🏽	duine cartwheeling: ton craiceann meánach
🤸🏾	duine cartwheeling: ton craiceann meán-dorcha
🤸🏿	duine cartwheeling: ton dorcha craicinn
🤸‍♂️	fear cartwheeling
🤸‍♂	fear cartwheeling
🤸🏻‍♂️	fear cartwheeling: ton craicinn éadrom
🤸🏻‍♂	fear cartwheeling: ton craicinn éadrom
🤸🏼‍♂️	man cartwheeling: ton craiceann meánach
🤸🏼‍♂	man cartwheeling: ton craiceann meánach
🤸🏽‍♂️	fear cartwheeling: ton craiceann meánach
🤸🏽‍♂	fear cartwheeling: ton craiceann meánach
🤸🏾‍♂️	fear cartwheeling: ton craiceann meán-dorcha
🤸🏾‍♂	fear cartwheeling: ton craiceann meán-dorcha
🤸🏿‍♂️	fear cartwheeling: ton dorcha craicinn
🤸🏿‍♂	fear cartwheeling: ton dorcha craicinn
🤸‍♀️	bean cartwheeling
🤸‍♀	bean cartwheeling
🤸🏻‍♀️	bean cartwheeling: ton craicinn éadrom
🤸🏻‍♀	bean cartwheeling: ton craicinn éadrom
🤸🏼‍♀️	woman cartwheeling: ton craiceann meánach
🤸🏼‍♀	woman cartwheeling: ton craiceann meánach
🤸🏽‍♀️	bean cartwheeling: ton craiceann meánach
🤸🏽‍♀	bean cartwheeling: ton craiceann meánach
🤸🏾‍♀️	bean cartwheeling: ton craiceann meán-dorcha
🤸🏾‍♀	bean cartwheeling: ton craiceann meán-dorcha
🤸🏿‍♀️	bean cartwheeling: ton dorcha craicinn
🤸🏿‍♀	bean cartwheeling: ton dorcha craicinn
🤼	daoine ag wrestling
🤼‍♂️	fir wrestling
🤼‍♂	fir wrestling
🤼‍♀️	mná wrestling
🤼‍♀	mná wrestling
🤽	duine ag imirt póló uisce
🤽🏻	duine ag imirt póló uisce: ton craicinn éadrom
🤽🏼	duine ag imirt póló uisce: ton craiceann meánach
🤽🏽	duine ag imirt póló uisce: ton craiceann meánach
🤽🏾	duine ag imirt póló uisce: ton craiceann meán-dorcha
🤽🏿	duine ag imirt póló uisce: ton dorcha craicinn
🤽‍♂️	fear ag imirt póló uisce
🤽‍♂	fear ag imirt póló uisce
🤽🏻‍♂️	fear ag imirt póló uisce: ton craicinn éadrom
🤽🏻‍♂	fear ag imirt póló uisce: ton craicinn éadrom
🤽🏼‍♂️	fear ag imirt póló uisce: ton craiceann meánach
🤽🏼‍♂	fear ag imirt póló uisce: ton craiceann meánach
🤽🏽‍♂️	fear ag imirt póló uisce: ton craiceann meánach
🤽🏽‍♂	fear ag imirt póló uisce: ton craiceann meánach
🤽🏾‍♂️	fear ag imirt póló uisce: ton craiceann meán-dorcha
🤽🏾‍♂	fear ag imirt póló uisce: ton craiceann meán-dorcha
🤽🏿‍♂️	fear ag imirt póló uisce: ton dorcha craicinn
🤽🏿‍♂	fear ag imirt póló uisce: ton dorcha craicinn
🤽‍♀️	bean ag imirt póló uisce
🤽‍♀	bean ag imirt póló uisce
🤽🏻‍♀️	bean ag imirt póló uisce: ton craicinn éadrom
🤽🏻‍♀	bean ag imirt póló uisce: ton craicinn éadrom
🤽🏼‍♀️	bean ag imirt póló uisce: ton craiceann meánach
🤽🏼‍♀	bean ag imirt póló uisce: ton craiceann meánach
🤽🏽‍♀️	bean ag imirt póló uisce: ton craiceann meánach
🤽🏽‍♀	bean ag imirt póló uisce: ton craiceann meánach
🤽🏾‍♀️	bean ag imirt póló uisce: ton craiceann meán-dorcha
🤽🏾‍♀	bean ag imirt póló uisce: ton craiceann meán-dorcha
🤽🏿‍♀️	bean ag imirt póló uisce: ton dorcha craicinn
🤽🏿‍♀	bean ag imirt póló uisce: ton dorcha craicinn
🤾	duine ag imirt liathróid láimhe
🤾🏻	duine ag imirt liathróid láimhe: ton craicinn éadrom
🤾🏼	duine ag imirt liathróid láimhe: ton craiceann meánach
🤾🏽	duine ag imirt liathróid láimhe: ton craiceann meánach
🤾🏾	duine ag imirt liathróid láimhe: ton craiceann meán-dorcha
🤾🏿	duine ag imirt liathróid láimhe: ton dorcha craicinn
🤾‍♂️	fear ag imirt liathróid láimhe
🤾‍♂	fear ag imirt liathróid láimhe
🤾🏻‍♂️	fear ag imirt liathróid láimhe: ton craicinn éadrom
🤾🏻‍♂	fear ag imirt liathróid láimhe: ton craicinn éadrom
🤾🏼‍♂️	fear ag imirt liathróid láimhe: ton craiceann meánach
🤾🏼‍♂	fear ag imirt liathróid láimhe: ton craiceann meánach
🤾🏽‍♂️	fear ag imirt liathróid láimhe: ton craiceann meánach
🤾🏽‍♂	fear ag imirt liathróid láimhe: ton craiceann meánach
🤾🏾‍♂️	fear ag imirt liathróid láimhe: ton craiceann meán-dorcha
🤾🏾‍♂	fear ag imirt liathróid láimhe: ton craiceann meán-dorcha
🤾🏿‍♂️	fear ag imirt liathróid láimhe: ton dorcha craicinn
🤾🏿‍♂	fear ag imirt liathróid láimhe: ton dorcha craicinn
🤾‍♀️	bean ag imirt liathróid láimhe
🤾‍♀	bean ag imirt liathróid láimhe
🤾🏻‍♀️	bean ag imirt liathróid láimhe: ton craicinn éadrom
🤾🏻‍♀	bean ag imirt liathróid láimhe: ton craicinn éadrom
🤾🏼‍♀️	bean ag imirt liathróid láimhe: ton craiceann meánach
🤾🏼‍♀	bean ag imirt liathróid láimhe: ton craiceann meánach
🤾🏽‍♀️	bean ag imirt liathróid láimhe: ton craiceann meánach
🤾🏽‍♀	bean ag imirt liathróid láimhe: ton craiceann meánach
🤾🏾‍♀️	bean ag imirt liathróid láimhe: ton craiceann meán-dorcha
🤾🏾‍♀	bean ag imirt liathróid láimhe: ton craiceann meán-dorcha
🤾🏿‍♀️	bean ag imirt liathróid láimhe: ton dorcha craicinn
🤾🏿‍♀	bean ag imirt liathróid láimhe: ton dorcha craicinn
🤹	duine ag juggling
🤹🏻	duine juggling: ton craicinn éadrom
🤹🏼	duine juggling: ton craiceann meánach
🤹🏽	duine juggling: ton craiceann meánach
🤹🏾	duine juggling: ton craiceann meán-dorcha
🤹🏿	duine juggling: ton dorcha craicinn
🤹‍♂️	fear ag juggling
🤹‍♂	fear ag juggling
🤹🏻‍♂️	fear juggling: ton craicinn éadrom
🤹🏻‍♂	fear juggling: ton craicinn éadrom
🤹🏼‍♂️	man juggling: ton craiceann meánach
🤹🏼‍♂	man juggling: ton craiceann meánach
🤹🏽‍♂️	man juggling: ton craiceann meánach
🤹🏽‍♂	man juggling: ton craiceann meánach
🤹🏾‍♂️	fear juggling: ton craiceann meán-dorcha
🤹🏾‍♂	fear juggling: ton craiceann meán-dorcha
🤹🏿‍♂️	fear juggling: ton dorcha craicinn
🤹🏿‍♂	fear juggling: ton dorcha craicinn
🤹‍♀️	bean ag juggling
🤹‍♀	bean ag juggling
🤹🏻‍♀️	juggling bean: ton craicinn éadrom
🤹🏻‍♀	juggling bean: ton craicinn éadrom
🤹🏼‍♀️	juggling bean: ton craiceann meánach
🤹🏼‍♀	juggling bean: ton craiceann meánach
🤹🏽‍♀️	bean juggling: ton craiceann meánach
🤹🏽‍♀	bean juggling: ton craiceann meánach
🤹🏾‍♀️	juggling bean: ton craiceann meán-dorcha
🤹🏾‍♀	juggling bean: ton craiceann meán-dorcha
🤹🏿‍♀️	bean juggling: ton dorcha craicinn
🤹🏿‍♀	bean juggling: ton dorcha craicinn
👫	fear agus bean i seilbh lámha
👬	beirt fhear i seilbh láimhe
👭	beirt bhan i seilbh láimhe
💏	póg
👩‍❤️‍💋‍👨	póg: bean, fear
👩‍❤‍💋‍👨	póg: bean, fear
👨‍❤️‍💋‍👨	póg: fear, man
👨‍❤‍💋‍👨	póg: fear, man
👩‍❤️‍💋‍👩	póg: bean, bean
👩‍❤‍💋‍👩	póg: bean, bean
💑	lánúin le croí
👩‍❤️‍👨	lánúin le croí: bean, fear
👩‍❤‍👨	lánúin le croí: bean, fear
👨‍❤️‍👨	lánúin le croí: fear, fear
👨‍❤‍👨	lánúin le croí: fear, fear
👩‍❤️‍👩	lánúin le croí: bean, bean
👩‍❤‍👩	lánúin le croí: bean, bean
👪	teaghlach
👨‍👩‍👦	teaghlach: fear, bean, buachaill
👨‍👩‍👧	teaghlach: fear, bean, cailín
👨‍👩‍👧‍👦	teaghlach: fear, bean, cailín, buachaill
👨‍👩‍👦‍👦	teaghlach: fear, bean, buachaill, buachaill
👨‍👩‍👧‍👧	teaghlach: fear, bean, cailín, cailín
👨‍👨‍👦	teaghlach: fear, fear, buachaill
👨‍👨‍👧	teaghlach: fear, fear, cailín
👨‍👨‍👧‍👦	teaghlach: fear, fear, cailín, buachaill
👨‍👨‍👦‍👦	teaghlach: fear, fear, buachaill, buachaill
👨‍👨‍👧‍👧	teaghlach: fear, fear, cailín, cailín
👩‍👩‍👦	teaghlach: bean, bean, buachaill
👩‍👩‍👧	teaghlach: bean, bean, cailín
👩‍👩‍👧‍👦	teaghlach: bean, bean, cailín, buachaill
👩‍👩‍👦‍👦	teaghlach: bean, bean, buachaill, buachaill
👩‍👩‍👧‍👧	teaghlach: bean, bean, cailín, cailín
👨‍👦	teaghlach: fear, buachaill
👨‍👦‍👦	teaghlach: fear, buachaill, buachaill
👨‍👧	teaghlach: fear, cailín
👨‍👧‍👦	teaghlach: fear, cailín, buachaill
👨‍👧‍👧	teaghlach: fear, cailín, cailín
👩‍👦	teaghlach: bean, buachaill
👩‍👦‍👦	teaghlach: bean, buachaill, buachaill
👩‍👧	teaghlach: bean, cailín
👩‍👧‍👦	teaghlach: bean, cailín, buachaill
👩‍👧‍👧	teaghlach: bean, cailín, cailín
🤳	selfie
🤳🏻	selfie: ton craicinn éadrom
🤳🏼	: selfie: ton craiceann meánach
🤳🏽	selfie: ton meánach craicinn
🤳🏾	selfie: ton craiceann meán-dorcha
🤳🏿	selfie: ton dorcha craicinn
💪	biceps flexed
💪🏻	biceps flexed: ton craiceann éadrom
💪🏼	biceps flexed: ton craiceann meánach
💪🏽	biceps flexed: ton craiceann meánach
💪🏾	biceps flexed: ton craiceann meán-dorcha
💪🏿	biceps flexed: ton craiceann dorcha
🦵	cos
🦵🏻	cos: ton craicinn éadrom
🦵🏼	cos: ton craiceann meánach
🦵🏽	cos: ton craiceann meánach
🦵🏾	cos: ton craiceann meán-dorcha
🦵🏿	cos: ton craiceann dorcha
🦶	chos
🦶🏻	chos: ton craicinn éadrom
🦶🏼	cos: ton craiceann meánach
🦶🏽	chos: ton craiceann meánach
🦶🏾	chos: ton craiceann meán-dorcha
🦶🏿	chos: ton dorcha craicinn
👈	innéacs cúlbhuille ag pointeáil ar chlé
👈🏻	innéacs cúlbhuille ag pointeáil ar chlé: ton craiceann éadrom
👈🏼	innéacs cúlbhuille ag pointeáil ar chlé: ton craiceann meánach
👈🏽	innéacs cúlbhuille ag pointeáil ar chlé: ton meánach craicinn
👈🏾	innéacs cúlbhuille ag pointeáil ar chlé: ton craiceann meán-dorcha
👈🏿	innéacs cúlbhuille ag pointeáil ar chlé: ton dorcha craicinn
👉	innéacs cúlbhuille ag pointeáil ar dheis
👉🏻	innéacs cúlbhuille ar dheis: ton craiceann éadrom
👉🏼	innéacs cúlbhuille ar dheis: ton craiceann meánach
👉🏽	innéacs cúlbhuille ar dheis: ton meánach craicinn
👉🏾	innéacs cúlbhuille ar dheis: ton craiceann meán-dorcha
👉🏿	innéacs cúlbhuille ar dheis: ton dorcha craicinn
☝️	innéacs ag cur in iúl
☝	innéacs ag cur in iúl
☝🏻	pointeáil innéacs suas: ton craiceann éadrom
☝🏼	pointeáil innéacs: ton craiceann meánach
☝🏽	pointeáil innéacs suas: ton craiceann meánach
☝🏾	pointeáil innéacs suas: ton craiceann meán-dorcha
☝🏿	pointeáil innéacs suas: ton craiceann dorcha
👆	innéacs cúlbhuille ag cur in iúl
👆🏻	innéacs cúlbhuille ag cur in iúl: ton craiceann éadrom
👆🏼	innéacs cúlbhuille ag cur in iúl: ton craiceann meánach
👆🏽	innéacs cúlbhuille ag cur in iúl: ton meánach craicinn
👆🏾	innéacs cúlbhuille dírithe suas: ton craiceann meán-dorcha
👆🏿	innéacs cúlbhuille ag cur in iúl: ton dorcha craicinn
🖕	méar mheáin
🖕🏻	méar lár: ton craicinn éadrom
🖕🏼	finger: ton craiceann meánach
🖕🏽	méar lár: ton meánach craicinn
🖕🏾	méar lár: ton craiceann meán-dorcha
🖕🏿	méar lár: ton dorcha craicinn
👇	innéacs cúlbhuille ag cur in iúl
👇🏻	innéacs cúlbhuille ag díriú síos: ton craiceann éadrom
👇🏼	innéacs cúlbhuille ag tagairt síos: ton craiceann meánach
👇🏽	innéacs cúlbhuille ag cur in iúl: ton craiceann meánach
👇🏾	innéacs cúlbhuille ag díriú síos: ton craiceann meán-dorcha
👇🏿	innéacs cúlbhuille ag cur in iúl: ton dorcha craicinn
✌️	lámh bua
✌	lámh bua
✌🏻	lámh bua: ton craicinn éadrom
✌🏼	lámh bua: ton craiceann meánach
✌🏽	lámh bua: ton craiceann meánach
✌🏾	lámh bua: ton craiceann meán-dorcha
✌🏿	lámh bua: ton craiceann dorcha
🤞	mhéara thrasnaigh
🤞🏻	mhéara thrasnaigh: ton craicinn éadrom
🤞🏼	mhéara thrasnaigh: ton craiceann meánach
🤞🏽	mhéara thrasnaigh: ton craiceann meánach
🤞🏾	mhéara thrasnaigh: ton craiceann meán-dorcha
🤞🏿	mhéara thrasnaigh: ton dorcha craicinn
🖖	cúirtéis vulcan
🖖🏻	cúirtéis vulcan: ton craicinn éadrom
🖖🏼	cúirtéis vulcan: ton craiceann meánach
🖖🏽	cúirtéis vulcan: ton craiceann meánach
🖖🏾	cúirtéis vulcan: ton craiceann meán-dorcha
🖖🏿	cúirtéis vulcan: ton craiceann dorcha
🤘	comhartha na n-adharc
🤘🏻	comhartha na n-adharc: ton craiceann éadrom
🤘🏼	comhartha na n-adharc: ton craiceann meánach
🤘🏽	comhartha na n-adharc: ton craiceann meánach
🤘🏾	comhartha na n-adharc: ton craiceann meánach dorcha
🤘🏿	comhartha na n-adharc: ton dorcha craicinn
🤙	glaoch orm lámh
🤙🏻	glaoch orm lámh: ton craicinn éadrom
🤙🏼	glaoch orm lámh: ton craiceann mheán-éadrom
🤙🏽	glaoch orm lámh: ton craiceann meánach
🤙🏾	glaoch orm lámh: ton craiceann meán-dorcha
🤙🏿	glaoch orm lámh: ton dorcha craicinn
🖐️	lámh leis na méara spréite
🖐	lámh leis na méara spréite
🖐🏻	lámh leis na méara spréite: ton craicinn éadrom
🖐🏼	lámh leis an mhéara: ton craiceann meán-éadrom
🖐🏽	lámh leis an mhéara spléach: ton craiceann meánach
🖐🏾	lámh leis na méara spréite: ton craiceann meán-dorcha
🖐🏿	lámh leis na méara spréite: ton dorcha craicinn
✋	lámh ardaithe
✋🏻	lámh ardaithe: ton craicinn éadrom
✋🏼	lámh ardaithe: ton craiceann meánach
✋🏽	lámh ardaithe: ton craiceann meánach
✋🏾	lámh ardaithe: ton craiceann meán-dorcha
✋🏿	lámh ardaithe: ton dorcha craicinn
👌	lámh ceart go leor
👌🏻	Lámh OK: ton craicinn éadrom
👌🏼	Láimhe OK: ton craiceann meánach
👌🏽	Lámh cheart: ton meánach craicinn
👌🏾	Lámh OK: ton craiceann meán-dorcha
👌🏿	Lámh OK: ton dorcha craicinn
👍	ordógí suas
👍🏻	ordóga suas: ton craicinn éadrom
👍🏼	ordóga suas: ton craiceann meánach
👍🏽	ordóga suas: ton craiceann meánach
👍🏾	ordóga suas: ton craiceann meán-dorcha
👍🏿	ordóga suas: ton dorcha craicinn
👎	ordóga síos
👎🏻	ordóga síos: ton craicinn éadrom
👎🏼	ordóga síos: ton craiceann meánach
👎🏽	ordóga síos: ton craiceann meánach
👎🏾	ordóga síos: ton craiceann meán-dorcha
👎🏿	ordóga síos: ton dorcha craicinn
✊	dorn ardaithe
✊🏻	dorn ardaithe: ton craicinn éadrom
✊🏼	dorn ardaithe: ton craiceann meánach
✊🏽	dorn ardaithe: ton craiceann meánach
✊🏾	dorn ardaithe: ton craiceann meán-dorcha
✊🏿	dorn ardaithe: ton dorcha craicinn
👊	dorn ag teacht
👊🏻	dorn oncoming: ton craicinn éadrom
👊🏼	dorn oncoming: ton craiceann meánach
👊🏽	dorn oncoming: ton craiceann meánach
👊🏾	dorn oncoming: ton craiceann meán-dorcha
👊🏿	dorn oncoming: ton dorcha craicinn
🤛	dorn ar chlé
🤛🏻	dorn atá os comhair na láimhe clé: ton craiceann éadrom
🤛🏼	dorn atá os comhair na láimhe clé: ton craiceann meánach
🤛🏽	dorn atá os comhair na láimhe clé: ton meánach craicinn
🤛🏾	dorn atá os comhair na láimhe clé: ton craiceann meán-dorcha
🤛🏿	dorn ar chlé: ton dorcha craicinn
🤜	dorn ar dheis
🤜🏻	dorn aghaidh na láimhe deise: ton craicinn éadrom
🤜🏼	dorn a bhfuil aghaidh ar dheis: ton craiceann meánach
🤜🏽	dorn aghaidh na láimhe deise: ton meánach craicinn
🤜🏾	dorn aghaidh na láimhe deise: ton craiceann meán-dorcha
🤜🏿	dorn aghaidh na láimhe deise: ton dorcha craicinn
🤚	ardaithe chúl láimhe
🤚🏻	cúl na láimhe ardaithe: ton craicinn éadrom
🤚🏼	cúl na láimhe ardaithe: ton craiceann meánach
🤚🏽	cúl na láimhe ardaithe: ton craiceann meánach
🤚🏾	cúl na láimhe ardaithe: ton craiceann meán-dorcha
🤚🏿	cúl na láimhe ardaithe: ton dorcha craicinn
👋	lámh waving
👋🏻	lámh waving: ton craicinn éadrom
👋🏼	Lámh a shlogtar: ton craiceann meánach
👋🏽	lámh waving: ton craiceann meánach
👋🏾	lámh waving: ton craiceann meán-dorcha
👋🏿	lámh waving: ton dorcha craicinn
🤟	grá - tú chomhartha
🤟🏻	comhartha grá duit: ton craiceann éadrom
🤟🏼	comhartha grá-tú: ton craiceann meánach
🤟🏽	comhartha grá-tú: ton craiceann meánach
🤟🏾	comhartha grá-tú: ton craiceann meán-dorcha
🤟🏿	gotha grá duit: ton dorcha craicinn
✍️	lámh scríbhneoireachta
✍	lámh scríbhneoireachta
✍🏻	lámh scríbhneoireachta: ton craicinn éadrom
✍🏼	lámh scríbhneoireachta: ton craiceann meánach
✍🏽	lámh scríbhneoireachta: ton craiceann meánach
✍🏾	lámh scríbhneoireachta: ton craiceann meán-dorcha
✍🏿	lámh scríbhneoireachta: ton craiceann dorcha
👏	lámha ag bualadh
👏🏻	lámha ag bualadh bos: ton craicinn éadrom
👏🏼	lámha ag bualadh bos: ton craiceann meánach
👏🏽	lámha ag bualadh bos: ton meánach craicinn
👏🏾	lámha ag bualadh bos: ton craiceann meán-dorcha
👏🏿	lámha ag bualadh bos: ton dorcha craicinn
👐	lámha oscailte
👐🏻	lámha oscailte: ton craicinn éadrom
👐🏼	lámha oscailte: ton craiceann meánach
👐🏽	lámha oscailte: ton craiceann meánach
👐🏾	lámha oscailte: ton craiceann meán-dorcha
👐🏿	lámha oscailte: ton craiceann dorcha
🙌	lámha a ardú
🙌🏻	lámha a ardú: ton craiceann éadrom
🙌🏼	lámha a ardú: ton craiceann meánach
🙌🏽	lámha a ardú: ton craiceann meánach
🙌🏾	lámha a ardú: ton craiceann meán-dorcha
🙌🏿	lámha a ardú: ton dorcha craicinn
🤲	bosa suas le chéile
🤲🏻	bosa suas le chéile: ton craicinn éadrom
🤲🏼	bosa suas le chéile: ton craiceann meánach
🤲🏽	bosa suas le chéile: ton craiceann meánach
🤲🏾	bosa suas le chéile: ton craiceann meán-dorcha
🤲🏿	bosa suas le chéile: ton craiceann dorcha
🙏	lámha fillte
🙏🏻	lámha fillte: ton craicinn éadrom
🙏🏼	lámha fillte: ton craiceann meánach
🙏🏽	lámha fillte: ton craiceann meánach
🙏🏾	lámha fillte: ton craiceann meán-dorcha
🙏🏿	lámha fillte: ton craiceann dorcha
🤝	croitheadh láimhe
💅	snas ingne
💅🏻	snas ingne: ton craicinn éadrom
💅🏼	snas ingne: ton craiceann meánach
💅🏽	snas ingne: ton craiceann meánach
💅🏾	snas ingne: ton craiceann meán-dorcha
💅🏿	snas ingne: ton dorcha craicinn
👂	cluas
👂🏻	cluas: ton craicinn éadrom
👂🏼	cluas: ton craiceann meánach
👂🏽	cluas: ton craiceann meánach
