😀	išsišiepęs veidas
🧘🏿‍♀	moteris lotoso pozoje: tamsus odos atspalvis
🧘‍♂️	vyras lotoso pozicijoje
🧘‍♂	vyras lotoso pozicijoje
🧘🏻‍♂️	vyras lotoso pozoje: šviesus odos atspalvis
🧘🏻‍♂	vyras lotoso pozoje: šviesus odos atspalvis
🧘🏼‍♂️	vyras lotoso pozoje: vidutiniškai šviesus odos atspalvis
🧘🏼‍♂	vyras lotoso pozoje: vidutiniškai šviesus odos atspalvis
🧘🏽‍♂️	vyras lotoso pozicijoje: vidutinio odos atspalvio
🧘🏽‍♂	vyras lotoso pozicijoje: vidutinio odos atspalvio
🧘🏾‍♂️	vyras lotoso pozoje: vidutiniškai tamsus odos atspalvis
🧘🏾‍♂	vyras lotoso pozoje: vidutiniškai tamsus odos atspalvis
🧘🏿‍♂️	vyras lotoso pozoje: tamsus odos atspalvis
🧘🏿‍♂	vyras lotoso pozoje: tamsus odos atspalvis
🛀	besimaudantis žmogus
🛀🏻	besimaudantis asmuo: šviesus odos atspalvis
🛀🏼	besimaudantis asmuo: vidutinio šviesumo odos atspalvis
🛀🏽	besimaudantis asmuo: vidutinio odos atspalvio
🛀🏾	besimaudantis asmuo: vidutiniškai tamsus odos atspalvis
🛀🏿	besimaudantis asmuo: tamsus odos atspalvis
🛌	žmogus lovoje
🛌🏻	asmuo lovoje: šviesios odos atspalvis
🛌🏼	asmuo lovoje: vidutinio šviesumo odos atspalvis
🛌🏽	asmuo lovoje: vidutinis odos atspalvis
🛌🏾	asmuo lovoje: vidutiniškai tamsus odos atspalvis
🛌🏿	žmogus lovoje: tamsus odos atspalvis
🕴️	kostiumuotas vyras levituoja
🕴	kostiumuotas vyras levituoja
🕴🏻	vyras su kostiumu levituoja: šviesus odos atspalvis
🕴🏼	vyras su kostiumu levituojantis: vidutinio šviesumo odos atspalvis
🕴🏽	vyras su kostiumu levituojantis: vidutinio odos atspalvio
🕴🏾	vyras su kostiumu levituojantis: vidutiniškai tamsus odos atspalvis
🕴🏿	vyras su kostiumu levituoja: tamsus odos atspalvis
🗣️	kalbanti galva
🗣	kalbanti galva
👤	biustas siluetu
👥	biustai silueto
🤺	asmuo tvoros
🏇	žirgų lenktynės
🏇🏻	žirgų lenktynės: šviesus odos atspalvis
🏇🏼	žirgų lenktynės: vidutinio šviesumo odos atspalvis
🏇🏽	žirgų lenktynės: vidutinis odos atspalvis
🏇🏾	žirgų lenktynės: vidutiniškai tamsus odos atspalvis
🏇🏿	žirgų lenktynės: tamsus odos atspalvis
⛷️	slidininkas
⛷	slidininkas
🏂	snieglentininkas
🏂🏻	snieglentininkas: šviesus odos atspalvis
🏂🏼	snieglentininkas: vidutinio šviesumo odos atspalvis
🏂🏽	snieglentininkas: vidutinio odos atspalvio
🏂🏾	snieglentininkas: vidutiniškai tamsus odos atspalvis
🏂🏿	snieglentininkas: tamsus odos atspalvis
🏌️	golfo žaidėjas
🏌	golfo žaidėjas
🏌🏻	golfą žaidžiantis žmogus: šviesios odos atspalvis
🏌🏼	golfą žaidžiantis žmogus: vidutinio šviesumo odos atspalvis
🏌🏽	golfą žaidžiantis žmogus: vidutinio odos atspalvio
🏌🏾	golfą žaidžiantis žmogus: vidutiniškai tamsus odos atspalvis
🏌🏿	golfą žaidžiantis žmogus: tamsus odos atspalvis
🏌️‍♂️	golfą žaidžiantis vyras
🏌‍♂️	golfą žaidžiantis vyras
🏌️‍♂	golfą žaidžiantis vyras
🏌‍♂	golfą žaidžiantis vyras
🏌🏻‍♂️	golfą žaidžiantis vyras: šviesios odos atspalvis
🏌🏻‍♂	golfą žaidžiantis vyras: šviesios odos atspalvis
🏌🏼‍♂️	golfą žaidžiantis vyras: vidutinio šviesumo odos atspalvis
🏌🏼‍♂	golfą žaidžiantis vyras: vidutinio šviesumo odos atspalvis
🏌🏽‍♂️	golfą žaidžiantis vyras: vidutinio atspalvio oda
🏌🏽‍♂	golfą žaidžiantis vyras: vidutinio atspalvio oda
🏌🏾‍♂️	golfą žaidžiantis vyras: vidutiniškai tamsus odos atspalvis
🏌🏾‍♂	golfą žaidžiantis vyras: vidutiniškai tamsus odos atspalvis
🏌🏿‍♂️	golfą žaidžiantis vyras: tamsus odos atspalvis
🏌🏿‍♂	golfą žaidžiantis vyras: tamsus odos atspalvis
🏌️‍♀️	moteris, žaidžianti golfą
🏌‍♀️	moteris, žaidžianti golfą
🏌️‍♀	moteris, žaidžianti golfą
🏌‍♀	moteris, žaidžianti golfą
🏌🏻‍♀️	golfą žaidžianti moteris: šviesios odos atspalvis
🏌🏻‍♀	golfą žaidžianti moteris: šviesios odos atspalvis
🏌🏼‍♀️	golfą žaidžianti moteris: vidutinio šviesumo odos atspalvis
🏌🏼‍♀	golfą žaidžianti moteris: vidutinio šviesumo odos atspalvis
🏌🏽‍♀️	golfą žaidžianti moteris: vidutinio atspalvio oda
🏌🏽‍♀	golfą žaidžianti moteris: vidutinio atspalvio oda
🏌🏾‍♀️	golfą žaidžianti moteris: vidutiniškai tamsus odos atspalvis
🏌🏾‍♀	golfą žaidžianti moteris: vidutiniškai tamsus odos atspalvis
🏌🏿‍♀️	golfą žaidžianti moteris: tamsus odos atspalvis
🏌🏿‍♀	golfą žaidžianti moteris: tamsus odos atspalvis
🏄	naršantis žmogus
🏄🏻	naršantis žmogus: šviesus odos atspalvis
🏄🏼	naršantis žmogus: vidutinio šviesumo odos atspalvis
🏄🏽	naršantis žmogus: vidutinio odos atspalvio
🏄🏾	naršantis žmogus: vidutiniškai tamsus odos atspalvis
🏄🏿	naršantis žmogus: tamsus odos atspalvis
🏄‍♂️	naršantis vyras
🏄‍♂	naršantis vyras
🏄🏻‍♂️	vyras, naršantis: šviesus odos atspalvis
🏄🏻‍♂	vyras, naršantis: šviesus odos atspalvis
🏄🏼‍♂️	vyras, naršantis: vidutinio šviesumo odos atspalvis
🏄🏼‍♂	vyras, naršantis: vidutinio šviesumo odos atspalvis
🏄🏽‍♂️	vyras, naršantis: vidutinis odos atspalvis
🏄🏽‍♂	vyras, naršantis: vidutinis odos atspalvis
🏄🏾‍♂️	naršantis vyras: vidutiniškai tamsus odos atspalvis
🏄🏾‍♂	naršantis vyras: vidutiniškai tamsus odos atspalvis
🏄🏿‍♂️	naršantis vyras: tamsus odos atspalvis
🏄🏿‍♂	naršantis vyras: tamsus odos atspalvis
🏄‍♀️	moteris naršanti
🏄‍♀	moteris naršanti
🏄🏻‍♀️	moteris naršanti: šviesus odos atspalvis
🏄🏻‍♀	moteris naršanti: šviesus odos atspalvis
🏄🏼‍♀️	banglenčių moteris: vidutinio šviesumo odos atspalvis
🏄🏼‍♀	banglenčių moteris: vidutinio šviesumo odos atspalvis
🏄🏽‍♀️	moteris naršanti: vidutinio odos atspalvio
🏄🏽‍♀	moteris naršanti: vidutinio odos atspalvio
🏄🏾‍♀️	naršanti moteris: vidutiniškai tamsus odos atspalvis
🏄🏾‍♀	naršanti moteris: vidutiniškai tamsus odos atspalvis
🏄🏿‍♀️	naršanti moteris: tamsus odos atspalvis
🏄🏿‍♀	naršanti moteris: tamsus odos atspalvis
🚣	asmens irklinė valtis
🚣🏻	irklinė valtis: šviesus odos atspalvis
🚣🏼	irklinė valtis: vidutinio šviesumo odos atspalvis
🚣🏽	asmens irklinė valtis: vidutinio odos atspalvio
🚣🏾	irklinė valtis: vidutiniškai tamsus odos atspalvis
🚣🏿	irklinė valtis: tamsus odos atspalvis
🚣‍♂️	vyriška irklinė valtis
🚣‍♂	vyriška irklinė valtis
🚣🏻‍♂️	Vyriška irklinė valtis: šviesios odos
🚣🏻‍♂	Vyriška irklinė valtis: šviesios odos
🚣🏼‍♂️	vyriška irklinė valtis: vidutinio šviesumo odos atspalvis
🚣🏼‍♂	vyriška irklinė valtis: vidutinio šviesumo odos atspalvis
🚣🏽‍♂️	Vyriška irklinė valtis: vidutinio odos atspalvio
🚣🏽‍♂	Vyriška irklinė valtis: vidutinio odos atspalvio
🚣🏾‍♂️	Vyriška irklinė valtis: vidutiniškai tamsus odos atspalvis
🚣🏾‍♂	Vyriška irklinė valtis: vidutiniškai tamsus odos atspalvis
🚣🏿‍♂️	vyrų irklinė valtis: tamsus odos atspalvis
🚣🏿‍♂	vyrų irklinė valtis: tamsus odos atspalvis
🚣‍♀️	moteris irklinė valtis
🚣‍♀	moteris irklinė valtis
🚣🏻‍♀️	moteris irklinė valtis: šviesios odos
🚣🏻‍♀	moteris irklinė valtis: šviesios odos
🚣🏼‍♀️	moteris irklinė valtis: vidutinio šviesumo odos atspalvis
🚣🏼‍♀	moteris irklinė valtis: vidutinio šviesumo odos atspalvis
🚣🏽‍♀️	moteris irklinė valtis: vidutinio odos atspalvio
🚣🏽‍♀	moteris irklinė valtis: vidutinio odos atspalvio
🚣🏾‍♀️	moteris irklinė valtis: vidutiniškai tamsus odos atspalvis
🚣🏾‍♀	moteris irklinė valtis: vidutiniškai tamsus odos atspalvis
🚣🏿‍♀️	moteris irklinė valtis: tamsus odos atspalvis
🚣🏿‍♀	moteris irklinė valtis: tamsus odos atspalvis
🏊	asmuo plaukioja
🏊🏻	plaukiojantis žmogus: šviesios odos atspalvis
🏊🏼	plaukiojantis žmogus: vidutinio šviesumo odos atspalvis
🏊🏽	asmuo plaukioja: vidutinio odos atspalvio
🏊🏾	plaukiojantis žmogus: vidutiniškai tamsus odos atspalvis
🏊🏿	asmuo plaukioja: tamsus odos atspalvis
🏊‍♂️	vyras plaukioja
🏊‍♂	vyras plaukioja
🏊🏻‍♂️	vyras plaukioja: šviesus odos atspalvis
🏊🏻‍♂	vyras plaukioja: šviesus odos atspalvis
🏊🏼‍♂️	vyras plaukioja: vidutinio šviesumo odos atspalvis
🏊🏼‍♂	vyras plaukioja: vidutinio šviesumo odos atspalvis
🏊🏽‍♂️	vyras plaukioja: vidutinio odos atspalvio
🏊🏽‍♂	vyras plaukioja: vidutinio odos atspalvio
🏊🏾‍♂️	vyras plaukioja: vidutiniškai tamsus odos atspalvis
🏊🏾‍♂	vyras plaukioja: vidutiniškai tamsus odos atspalvis
🏊🏿‍♂️	vyras plaukioja: tamsus odos atspalvis
🏊🏿‍♂	vyras plaukioja: tamsus odos atspalvis
🏊‍♀️	moteris plaukioja
🏊‍♀	moteris plaukioja
🏊🏻‍♀️	moteris plaukioja: šviesios odos
🏊🏻‍♀	moteris plaukioja: šviesios odos
🏊🏼‍♀️	moteris plaukioja: vidutinio šviesumo odos atspalvis
🏊🏼‍♀	moteris plaukioja: vidutinio šviesumo odos atspalvis
🏊🏽‍♀️	moteris plaukioja: vidutinio odos atspalvio
🏊🏽‍♀	moteris plaukioja: vidutinio odos atspalvio
🏊🏾‍♀️	plaukianti moteris: vidutinio tamsumo odos atspalvis
🏊🏾‍♀	plaukianti moteris: vidutinio tamsumo odos atspalvis
🏊🏿‍♀️	plaukianti moteris: tamsus odos atspalvis
🏊🏿‍♀	plaukianti moteris: tamsus odos atspalvis
⛹️	asmuo atšokęs kamuolį
⛹	asmuo atšokęs kamuolį
⛹🏻	asmuo atšokęs kamuolys: šviesus odos atspalvis
⛹🏼	asmuo atšokęs kamuolys: vidutinio šviesumo odos atspalvis
⛹🏽	asmuo atšokęs kamuolys: vidutinio odos atspalvio
⛹🏾	asmuo atšokęs kamuolys: vidutiniškai tamsus odos atspalvis
⛹🏿	asmuo atšokęs kamuolys: tamsus odos atspalvis
⛹️‍♂️	vyras atšokęs kamuolį
⛹‍♂️	vyras atšokęs kamuolį
⛹️‍♂	vyras atšokęs kamuolį
⛹‍♂	vyras atšokęs kamuolį
⛹🏻‍♂️	vyras atšokęs kamuolys: šviesus odos atspalvis
⛹🏻‍♂	vyras atšokęs kamuolys: šviesus odos atspalvis
⛹🏼‍♂️	vyras atšokantis kamuolys: vidutinio šviesumo odos atspalvis
⛹🏼‍♂	vyras atšokantis kamuolys: vidutinio šviesumo odos atspalvis
⛹🏽‍♂️	vyras atšokęs kamuolys: vidutinis odos atspalvis
⛹🏽‍♂	vyras atšokęs kamuolys: vidutinis odos atspalvis
⛹🏾‍♂️	vyriškas kamuoliukas: vidutiniškai tamsus odos atspalvis
⛹🏾‍♂	vyriškas kamuoliukas: vidutiniškai tamsus odos atspalvis
⛹🏿‍♂️	vyras atšokęs kamuolys: tamsus odos atspalvis
⛹🏿‍♂	vyras atšokęs kamuolys: tamsus odos atspalvis
⛹️‍♀️	moteris atšokusi kamuolį
⛹‍♀️	moteris atšokusi kamuolį
⛹️‍♀	moteris atšokusi kamuolį
⛹‍♀	moteris atšokusi kamuolį
⛹🏻‍♀️	moteris atšokusi kamuolį: šviesus odos atspalvis
⛹🏻‍♀	moteris atšokusi kamuolį: šviesus odos atspalvis
⛹🏼‍♀️	moteris atšokusi kamuolį: vidutinio šviesumo odos atspalvis
⛹🏼‍♀	moteris atšokusi kamuolį: vidutinio šviesumo odos atspalvis
⛹🏽‍♀️	moteris atšokusi kamuolį: vidutinio odos atspalvio
⛹🏽‍♀	moteris atšokusi kamuolį: vidutinio odos atspalvio
⛹🏾‍♀️	moteris atšokusi kamuolį: vidutiniškai tamsus odos atspalvis
⛹🏾‍♀	moteris atšokusi kamuolį: vidutiniškai tamsus odos atspalvis
⛹🏿‍♀️	moteris atšokusi kamuolį: tamsus odos atspalvis
⛹🏿‍♀	moteris atšokusi kamuolį: tamsus odos atspalvis
🏋️	svorius kilnojantis asmuo
🏋	asmuo, kilnojęs svorius
🏋🏻	asmuo, kilnojantis svorius: šviesus odos atspalvis
🏋🏼	asmuo, kilnojantis svorius: vidutinio šviesumo odos atspalvis
🏋🏽	asmuo, kilnojamas svorius: vidutinio odos atspalvio
🏋🏾	asmuo, kilnojantis svorius: vidutiniškai tamsus odos atspalvis
🏋🏿	asmuo, kilnojantis svorius: tamsus odos atspalvis
🏋️‍♂️	vyras kilnoja svorius
🏋‍♂️	vyras kilnoja svorius
🏋️‍♂	vyras kilnoja svorius
🏋‍♂	vyras kilnoja svorius
🏋🏻‍♂️	vyras kilnoja svorius: šviesus odos atspalvis
🏋🏻‍♂	vyras kilnoja svorius: šviesus odos atspalvis
🏋🏼‍♂️	vyras kilnoja svorius: vidutinio šviesumo odos atspalvis
🏋🏼‍♂	vyras kilnoja svorius: vidutinio šviesumo odos atspalvis
🏋🏽‍♂️	vyras kilnoja svorius: vidutinio odos atspalvio
🏋🏽‍♂	vyras kilnoja svorius: vidutinio odos atspalvio
🏋🏾‍♂️	vyras kilnoja svorius: vidutiniškai tamsus odos atspalvis
🏋🏾‍♂	vyras kilnoja svorius: vidutiniškai tamsus odos atspalvis
🏋🏿‍♂️	vyras kilnoja svorius: tamsus odos atspalvis
🏋🏿‍♂	vyras kilnoja svorius: tamsus odos atspalvis
🏋️‍♀️	moteris kilnoja svorius
🏋‍♀️	moteris kilnoja svorius
🏋️‍♀	moteris kilnoja svorius
🏋‍♀	moteris kilnoja svorius
🏋🏻‍♀️	moteris kilnoja svorius: šviesus odos atspalvis
🏋🏻‍♀	moteris kilnoja svorius: šviesus odos atspalvis
🏋🏼‍♀️	moteris kilnoja svorius: vidutinio šviesumo odos atspalvis
🏋🏼‍♀	moteris kilnoja svorius: vidutinio šviesumo odos atspalvis
🏋🏽‍♀️	moteris kilnoja svorius: vidutinio odos atspalvio
🏋🏽‍♀	moteris kilnoja svorius: vidutinio odos atspalvio
🏋🏾‍♀️	moteris kilnoja svorius: vidutiniškai tamsus odos atspalvis
🏋🏾‍♀	moteris kilnoja svorius: vidutiniškai tamsus odos atspalvis
🏋🏿‍♀️	moteris kilnoja svorius: tamsus odos atspalvis
🏋🏿‍♀	moteris kilnoja svorius: tamsus odos atspalvis
🚴	asmuo, važinėjantis dviračiu
🚴🏻	asmuo, važiuojantis dviračiu: šviesus odos atspalvis
🚴🏼	asmuo, važiuojantis dviračiu: vidutiniškai šviesus odos atspalvis
🚴🏽	asmuo, važiuojantis dviračiu: vidutinis odos atspalvis
🚴🏾	asmuo, važiuojantis dviračiu: vidutiniškai tamsus odos atspalvis
🚴🏿	asmuo, važiuojantis dviračiu: tamsus odos atspalvis
🚴‍♂️	vyras dviračiu
🚴‍♂	vyras dviračiu
🚴🏻‍♂️	vyras dviračiu: šviesus odos atspalvis
🚴🏻‍♂	vyras dviračiu: šviesus odos atspalvis
🚴🏼‍♂️	vyras dviračiu: vidutinio šviesumo odos atspalvis
🚴🏼‍♂	vyras dviračiu: vidutinio šviesumo odos atspalvis
🚴🏽‍♂️	vyras dviračiu: vidutinis odos atspalvis
🚴🏽‍♂	vyras dviračiu: vidutinis odos atspalvis
🚴🏾‍♂️	vyras dviračiu: vidutiniškai tamsus odos atspalvis
🚴🏾‍♂	vyras dviračiu: vidutiniškai tamsus odos atspalvis
🚴🏿‍♂️	vyras dviračiu: tamsus odos atspalvis
🚴🏿‍♂	vyras dviračiu: tamsus odos atspalvis
🚴‍♀️	moteris dviračiu
🚴‍♀	moteris dviračiu
🚴🏻‍♀️	moteris dviračiu: šviesios odos
🚴🏻‍♀	moteris dviračiu: šviesios odos
🚴🏼‍♀️	moteris dviračiu: vidutinio šviesumo odos atspalvis
🚴🏼‍♀	moteris dviračiu: vidutinio šviesumo odos atspalvis
🚴🏽‍♀️	moteris dviračiu: vidutinio atspalvio oda
🚴🏽‍♀	moteris dviračiu: vidutinio atspalvio oda
🚴🏾‍♀️	moteris dviračiu: vidutiniškai tamsus odos atspalvis
🚴🏾‍♀	moteris dviračiu: vidutiniškai tamsus odos atspalvis
🚴🏿‍♀️	moteris dviračiu: tamsus odos atspalvis
🚴🏿‍♀	moteris dviračiu: tamsus odos atspalvis
🚵	asmuo kalnų dviračiu
🚵🏻	asmuo, važinėjantis kalnų dviračiais: šviesus odos atspalvis
🚵🏼	asmuo, važinėjantis kalnų dviračiu: vidutiniškai šviesus odos atspalvis
🚵🏽	asmuo, važinėjantis kalnų dviračiais: vidutinis odos atspalvis
🚵🏾	asmuo, važinėjantis kalnų dviračiu: vidutiniškai tamsus odos atspalvis
🚵🏿	asmuo, važinėjantis kalnų dviračiu: tamsus odos atspalvis
🚵‍♂️	vyras kalnų dviračiu
🚵‍♂	vyras kalnų dviračiu
🚵🏻‍♂️	vyras kalnų dviračiu: šviesus odos atspalvis
🚵🏻‍♂	vyras kalnų dviračiu: šviesus odos atspalvis
🚵🏼‍♂️	vyras kalnų dviračiu: vidutiniškai šviesus odos atspalvis
🚵🏼‍♂	vyras kalnų dviračiu: vidutiniškai šviesus odos atspalvis
🚵🏽‍♂️	vyras kalnų dviračiu: vidutinis odos atspalvis
🚵🏽‍♂	vyras kalnų dviračiu: vidutinis odos atspalvis
🚵🏾‍♂️	vyras kalnų dviračiu: vidutiniškai tamsus odos atspalvis
🚵🏾‍♂	vyras kalnų dviračiu: vidutiniškai tamsus odos atspalvis
🚵🏿‍♂️	vyras kalnų dviračiu: tamsus odos atspalvis
🚵🏿‍♂	vyras kalnų dviračiu: tamsus odos atspalvis
🚵‍♀️	moteris kalnų dviračiu
🚵‍♀	moteris kalnų dviračiu
🚵🏻‍♀️	moteris kalnų dviračiu: šviesus odos atspalvis
🚵🏻‍♀	moteris kalnų dviračiu: šviesus odos atspalvis
🚵🏼‍♀️	moteris kalnų dviračiu: vidutinio šviesumo odos atspalvis
🚵🏼‍♀	moteris kalnų dviračiu: vidutinio šviesumo odos atspalvis
🚵🏽‍♀️	moteris kalnų dviračiu: vidutinio atspalvio oda
🚵🏽‍♀	moteris kalnų dviračiu: vidutinio atspalvio oda
🚵🏾‍♀️	moteris kalnų dviračiu: vidutiniškai tamsus odos atspalvis
🚵🏾‍♀	moteris kalnų dviračiu: vidutiniškai tamsus odos atspalvis
🚵🏿‍♀️	moteris kalnų dviračiu: tamsus odos atspalvis
🚵🏿‍♀	moteris kalnų dviračiu: tamsus odos atspalvis
🏎️	lenktyninis automobilis
🏎	lenktyninis automobilis
🏍️	motociklas
🏍	motociklas
🤸	asmuo, važiuojantis vežimėliu
🤸🏻	važiuojantis žmogus: šviesus odos atspalvis
🤸🏼	važiuojantis žmogus: vidutinio šviesumo odos atspalvis
🤸🏽	žmogus, važiuojantis vežimėliu: vidutinis odos atspalvis
🤸🏾	važiuojantis žmogus: vidutiniškai tamsus odos atspalvis
🤸🏿	važiuojantis žmogus: tamsus odos atspalvis
🤸‍♂️	vyras važinėja vežimu
🤸‍♂	vyras važinėja vežimu
🤸🏻‍♂️	vyras karučiais: šviesus odos atspalvis
🤸🏻‍♂	vyras vežimėliu: šviesus odos atspalvis
🤸🏼‍♂️	vyras kartelis: vidutinio šviesumo odos atspalvis
🤸🏼‍♂	vyras kartelis: vidutinio šviesumo odos atspalvis
🤸🏽‍♂️	vyras kartelis: vidutinis odos atspalvis
🤸🏽‍♂	vyras kartelis: vidutinis odos atspalvis
🤸🏾‍♂️	vyras kartelis: vidutiniškai tamsus odos atspalvis
🤸🏾‍♂	vyras kartelis: vidutiniškai tamsus odos atspalvis
🤸🏿‍♂️	vyras, besisukantis vežimais: tamsus odos atspalvis
🤸🏿‍♂	vyras, besisukantis vežimais: tamsus odos atspalvis
🤸‍♀️	moteris, važiuojanti vežimėliu
🤸‍♀	moteris, važiuojanti vežimėliu
🤸🏻‍♀️	moteris vežimėliu: šviesus odos atspalvis
🤸🏻‍♀	moteris vežimėliu: šviesus odos atspalvis
🤸🏼‍♀️	moteris, važiuojanti vežimėliu: vidutinio šviesumo odos atspalvis
🤸🏼‍♀	moteris, važiuojanti vežimėliu: vidutinio šviesumo odos atspalvis
🤸🏽‍♀️	moteris, važiuojanti vežimėliu: vidutinis odos atspalvis
🤸🏽‍♀	moteris, važiuojanti vežimėliu: vidutinis odos atspalvis
🤸🏾‍♀️	moteris, važiuojanti vežimėliu: vidutiniškai tamsus odos atspalvis
🤸🏾‍♀	moteris, važiuojanti vežimėliu: vidutiniškai tamsus odos atspalvis
🤸🏿‍♀️	moteris, važiuojanti vežimėliu: tamsus odos atspalvis
🤸🏿‍♀	moteris, važiuojanti vežimėliu: tamsus odos atspalvis
🤼	imtynių žmonės
🤼‍♂️	vyrų imtynės
🤼‍♂	vyrų imtynės
🤼‍♀️	moterų imtynės
🤼‍♀	moterų imtynės
🤽	žmogus, žaidžiantis vandensvydį
🤽🏻	žmogus, žaidžiantis vandensvydį: šviesus odos atspalvis
🤽🏼	žmogus, žaidžiantis vandensvydį: vidutinio šviesumo odos atspalvis
🤽🏽	žmogus, žaidžiantis vandensvydį: vidutinis odos atspalvis
🤽🏾	žmogus, žaidžiantis vandensvydį: vidutiniškai tamsus odos atspalvis
🤽🏿	žmogus, žaidžiantis vandensvydį: tamsus odos atspalvis
🤽‍♂️	vyras žaidžia vandensvydį
🤽‍♂	vyras žaidžia vandensvydį
🤽🏻‍♂️	vyras, žaidžiantis vandensvydį: šviesus odos atspalvis
🤽🏻‍♂	vyras, žaidžiantis vandensvydį: šviesus odos atspalvis
🤽🏼‍♂️	vyras, žaidžiantis vandensvydį: vidutinio šviesumo odos atspalvis
🤽🏼‍♂	vyras, žaidžiantis vandensvydį: vidutinio šviesumo odos atspalvis
🤽🏽‍♂️	vyras, žaidžiantis vandensvydį: vidutinis odos atspalvis
🤽🏽‍♂	vyras, žaidžiantis vandensvydį: vidutinis odos atspalvis
🤽🏾‍♂️	vyras, žaidžiantis vandensvydį: vidutiniškai tamsus odos atspalvis
🤽🏾‍♂	vyras, žaidžiantis vandensvydį: vidutiniškai tamsus odos atspalvis
🤽🏿‍♂️	vyras, žaidžiantis vandensvydį: tamsus odos atspalvis
🤽🏿‍♂	vyras, žaidžiantis vandensvydį: tamsus odos atspalvis
🤽‍♀️	moteris žaidžia vandensvydį
🤽‍♀	moteris žaidžia vandensvydį
🤽🏻‍♀️	moteris, žaidžianti vandensvydį: šviesus odos atspalvis
🤽🏻‍♀	moteris, žaidžianti vandensvydį: šviesus odos atspalvis
🤽🏼‍♀️	moteris, žaidžianti vandensvydį: vidutinio šviesumo odos atspalvis
🤽🏼‍♀	moteris, žaidžianti vandensvydį: vidutinio šviesumo odos atspalvis
🤽🏽‍♀️	moteris, žaidžianti vandensvydį: vidutinio atspalvio oda
🤽🏽‍♀	moteris, žaidžianti vandensvydį: vidutinio atspalvio oda
🤽🏾‍♀️	moteris, žaidžianti vandensvydį: vidutiniškai tamsus odos atspalvis
🤽🏾‍♀	moteris, žaidžianti vandensvydį: vidutiniškai tamsus odos atspalvis
🤽🏿‍♀️	moteris, žaidžianti vandensvydį: tamsus odos atspalvis
🤽🏿‍♀	moteris, žaidžianti vandensvydį: tamsus odos atspalvis
🤾	rankinį žaidžiantis žmogus
🤾🏻	rankinį žaidžiantis žmogus: šviesios odos atspalvis
🤾🏼	rankinį žaidžiantis žmogus: vidutinio šviesumo odos atspalvis
🤾🏽	rankinį žaidžiantis žmogus: vidutinio odos atspalvio
🤾🏾	rankinį žaidžiantis žmogus: vidutiniškai tamsus odos atspalvis
🤾🏿	rankinį žaidžiantis žmogus: tamsus odos atspalvis
🤾‍♂️	vyras žaidžia rankinį
🤾‍♂	vyras žaidžia rankinį
🤾🏻‍♂️	rankinį žaidžiantis vyras: šviesios odos atspalvis
🤾🏻‍♂	rankinį žaidžiantis vyras: šviesios odos atspalvis
🤾🏼‍♂️	rankinį žaidžiantis vyras: vidutinio šviesumo odos atspalvis
🤾🏼‍♂	rankinį žaidžiantis vyras: vidutinio šviesumo odos atspalvis
🤾🏽‍♂️	rankinį žaidžiantis vyras: vidutinis odos atspalvis
🤾🏽‍♂	rankinį žaidžiantis vyras: vidutinio atspalvio oda
🤾🏾‍♂️	rankinį žaidžiantis vyras: vidutiniškai tamsus odos atspalvis
🤾🏾‍♂	rankinį žaidžiantis vyras: vidutiniškai tamsus odos atspalvis
🤾🏿‍♂️	rankinį žaidžiantis vyras: tamsus odos atspalvis
🤾🏿‍♂	rankinį žaidžiantis vyras: tamsus odos atspalvis
🤾‍♀️	moteris žaidžia rankinį
🤾‍♀	moteris žaidžia rankinį
🤾🏻‍♀️	rankinį žaidžianti moteris: šviesios odos
🤾🏻‍♀	rankinį žaidžianti moteris: šviesios odos
🤾🏼‍♀️	rankinį žaidžianti moteris: vidutinio šviesumo odos atspalvis
🤾🏼‍♀	rankinį žaidžianti moteris: vidutinio šviesumo odos atspalvis
🤾🏽‍♀️	rankinį žaidžianti moteris: vidutinio atspalvio oda
🤾🏽‍♀	rankinį žaidžianti moteris: vidutinio atspalvio oda
🤾🏾‍♀️	rankinį žaidžianti moteris: vidutiniškai tamsus odos atspalvis
🤾🏾‍♀	rankinį žaidžianti moteris: vidutiniškai tamsus odos atspalvis
🤾🏿‍♀️	rankinį žaidžianti moteris: tamsus odos atspalvis
🤾🏿‍♀	rankinį žaidžianti moteris: tamsus odos atspalvis
🤹	žongliruojantis žmogus
🤹🏻	žongliruojantis asmuo: šviesus odos atspalvis
🤹🏼	žongliruojantis asmuo: vidutinio šviesumo odos atspalvis
🤹🏽	žongliruojantis asmuo: vidutinis odos atspalvis
🤹🏾	žongliruojantis asmuo: vidutiniškai tamsus odos atspalvis
🤹🏿	žongliruojantis asmuo: tamsus odos tonas
🤹‍♂️	žongliruojantis vyras
🤹‍♂	žongliruojantis vyras
🤹🏻‍♂️	žongliruojantis vyras: šviesus odos atspalvis
🤹🏻‍♂	žongliruojantis vyras: šviesus odos atspalvis
🤹🏼‍♂️	žongliruojantis vyras: vidutinio šviesumo odos atspalvis
🤹🏼‍♂	žongliruojantis vyras: vidutinio šviesumo odos atspalvis
🤹🏽‍♂️	žongliruojantis vyras: vidutinis odos atspalvis
🤹🏽‍♂	žongliruojantis vyras: vidutinis odos atspalvis
🤹🏾‍♂️	žongliruojantis vyras: vidutiniškai tamsus odos atspalvis
🤹🏾‍♂	žongliruojantis vyras: vidutiniškai tamsus odos atspalvis
