😀	שמייכלענדיק פנים
❤️	רויט הארץ
❤	רויט הארץ
💓	קלאפנדיק הארץ
💔	צובראכן הארץ
💕	צװײ הערצער
💖	פינקלען הארץ
💗	גראָוינג האַרץ
💙	בלוי האַרץ
💚	גרין האַרץ
💛	געל הארץ
🧡	מאַראַנץ האַרץ
💜	לילאַ האַרץ
🖤	שוואַרץ האַרץ
💝	הארץ מיט בענד
💞	ריוואַלווינג הערצער
💟	האַרץ באַפּוצונג
❣️	שווער האַרץ עקסקלאַמיישאַן
❣	שווער האַרץ עקסקלאַמיישאַן
💌	ליבע בריוו
💤	זזז
💢	כּעס סימבאָל
💣	באָמבע
💥	צונויפשטויס
💦	שווייס דראַפּלאַץ
💨	דאַשינג אַוועק
💫	שווינדלדיק
💬	רעדע באַלאָן
🗨️	לינקס רעדע בלאָז
🗨	לינקס רעדע בלאָז
🗯️	רעכט כּעס בלאָז
🗯	רעכט כּעס בלאָז
💭	געדאַנק באַלאָן
🕳️	לאָך
🕳	לאָך
👓	ברילן
🕶️	זונברילן
🕶	זונברילן
🥽	ברילן
🥼	לאַב מאַנטל
👔	האַלדזבאַנד
👕	ה-העמד
👖	דזשינס
🧣	שאַל
🧤	גלאַווז
🧥	מאַנטל
🧦	זאקען
👗	אָנטאָן
👘	קימאָנאָ
👙	ביקיני
👚	פרוי ס קליידער
👛	בייטל
👜	טאַש
👝	קלאַטש טאַש
🛍️	שאַפּינג באַגס
🛍	שאַפּינג באַגס
🎒	שולע באַקפּאַק
👞	מענטש ס שוך
👟	פליסנדיק שוך
🥾	כייקינג שטיוול
🥿	פרוי ס פלאַך שוך
👠	הויך-כילד שוך
👡	פרוי ס שיך
👢	פרוי ס שטיוול
👑	קרוין
👒	פרוי ס הוט
🎩	אויבערשטע הוט
🎓	גראַדזשאַוויישאַן היטל
🧢	בילד קאַפּ
⛑️	ראַטעווען אַרבעטער העלם
⛑	ראַטעווען אַרבעטער העלם
📿	תפילה קרעלן
💄	ליפּנשטיפט
💍	קלינגען
💎	יידלשטיין שטיין
🐵	מאַלפּע פּנים
🐒	מאַלפּע
🦍	גאָריללאַ
🐶	הונט פּנים
🐕	הונט
🐩	פּודל
🐺	וואָלף פּנים
🦊	פוקס פּנים
🦝	שאַפּ
🐱	קאַץ פּנים
🐈	קאַץ
🦁	לייב פּנים
🐯	טיגער פּנים
🐅	טיגער
🐆	לעמפּערט
🐴	פערד פּנים
🐎	פערד
🦄	יינהאָרן פּנים
🦓	זעברע
🦌	הירש
🐮	קו פּנים
🐂	אָקס
🐃	וואַסער בופלאָקס
🐄	קו
🐷	חזיר פנים
🐖	חזיר
🐗	קאַבאַן
🐽	חזיר נאָז
🐏	באַראַן
🐑	איו
🐐	ציג
🐪	קעמל
🐫	קעמל צוױי
🦙	לאַמאַ
🦒	דזשעראַף
🐘	העלפאַנד
🦏	ריינאַסעראַס
🦛	כיפּאַפּאַטאַמאַס
🐭	מויז פּנים
🐁	מויז
🐀	שטשור
🐹	האַמסטער פּנים
🐰	קיניגל פּנים
🐇	קיניגל
🐿️	טשיפּמונק
🐿	טשיפּמונק
🦔	העדגעהאָג
🦇	פלעדערמויז
🐻	בער פּנים
🐨	קאָאַלאַ
🐼	פּאַנדאַ פּנים
🦘	קאַנגגערו
🦡	דאַקס
🐾	לאַפּע פּרינץ
🦃	טערקיי
🐔	הינדל
🐓	האָן
🐣	לוקע פייגעלע
🐤	בעיבי פייגעלע
🐥	פראָנט-פייסינג בעיבי פייגעלע
🐦	פויגל
🐧	פּינגווין
🕊️	טויב
🕊	טויב
🦅	אָדלער
🦆	קאַטשקע
🦢	שוואַן
🦉	סאָווע
🦚	פּאַווע
🦜	פּאַפּוגייַ
🐸	זשאַבע פּנים
🐊	קראָקאָדיל
🐢	טשערעפּאַכע
🦎	יאַשטשערקע
🐍	שלאַנג
🐲	דראַגאָן פּנים
🐉	שלאנג
🦕	סאַוראָפּאָד
🦖	ט-רעקס
🐳	ספּאַוטינג וואַלפיש
🐋	וואַלפיש
🐬	דעלפין
🐟	פיש
🐠	טראַפּיקאַל פיש
🐡	בלאָופיש
🦈	הייַפיש
🐙	ספּרוט
🐚	ספּיראַליש שאָל
🦀	קראַב
🦞	האָמאַר
🦐	שרימפּ
🦑	טינטפיש
🐌	שנעק
🦋	פלאַטערל
🐛	זשוק
🐜	מוראַשקע
🐝	האניג בין
🐞	דאַמע זשוק
🦗	קריקאַט
🕷️	שפּין
🕷	שפּין
🕸️	שפּין וועב
🕸	שפּין וועב
🦂	סקאָרפּיאָן
🦟	קאָמאַר
🦠	מיקראָב
💐	בוקיי
🌸	קאַרש קווייט
💮	ווייַס בלום
🏵️	ראָסעט
🏵	ראָסעט
🌹	רויז
🥀	ווילדע בלום
🌺	היביסקוס
🌻	זונרויז
🌼	בליען
🌷	טולפּאַן
🌱	סידלינג
🌲	עווערגרין בוים
🌳	דיסידזשואַס בוים
🌴	טייטלבוים
🌵	קאַקטוס
🌾	שעף פון רייַז
🌿	קרייַטעכץ
☘️	שאַמראַק
☘	שאַמראַק
🍀	פיר בלאַט קלאָווער
🍁	נעצבוים בלעטל
🍂	געפאלן בלאט
🍃	בלאַט פלאַטערינג אין ווינט
🍇	טרויבן
🍈	מעלאָן
🍉	קאַווענע
🍊	טאַנדזשערין
🍋	לימענע
🍌	באַנאַנע
🍍	אַנאַנאַס
🥭	מאַנגאָ
🍎	רויט עפּל
🍏	גרין עפּל
🍐	באַרנע
🍑	פערשקע
🍒	טשעריז
🍓	סטראָבערי
🥝	קיווי פרוכט
🍅	פּאָמידאָר
🥥	קאָקאָסנוס
🥑	אַוואָקאַדאָ
🍆	פּאַטלעזשאַן
🥔	קאַרטאָפל
🥕	מער
🌽	אויער פון פּאַפּשוי
🌶️	הייס פעפער
🌶	הייס פעפער
🥒	וגערקע
🥬	ליפי גרין
🥦	בראַקאַלי
🍄	שוועמל
🥜	פּינאַץ
🌰	קעסטן
🍞	ברויט
🥐	קוואַסאַנט
🥖	באַגועטטע ברויט
🥨	פרעצל
🥯	בייגל
🥞	פּאַנקייקס
🧀	קעז וועדזש
🍖	פלייש אויף ביין
🍗	אָף פוס
🥩	שנייַדן פון פלייש
🥓	בייקאָן
🍔	האַמבורגער
🍟	פראנצויזיש פרייז
🍕	פּיצע
🌭	וואורשטל
🥪	סענדוויטש
🌮	טאַקאָ
🌯	בורריטאָ
🥙	סטאַפט פלאַטברעאַד
🥚	יי
🍳	קוקינג
🥘	פּליטקע פּאַן פון עסנוואַרג
🍲	טאָפּ פון עסנוואַרג
🥣	שיסל מיט לעפל
🥗	גרין סאַלאַט
🍿	קאָקאָשעס
🧂	זאַלץ
🥫	קאַנד עסנוואַרג
🍱	בענטאָ קעסטל
🍘	רייַז קראַקער
🍙	רייַז פּילקע
🍚	האַלב רייַז
🍛	קערי רייַז
🍜	סטימינג שיסל
🍝	ספּאַגעטי
🍠	ראָוסטיד זיס קאַרטאָפל
🍢	oden
🍣	סושי
🍤	געפּרעגלט שרימפּ
🍥	פיש שטיקל מיט סווירל
🥮	לבנה שטיקל
🍡	dango
🥟	קנאָבל
🥠	מאַזל קיכל
🥡	טייקאַוט קעסטל
🍦	ווייך ייַז קרעם
🍧	שיירט אייז
🍨	אייז קריעם
🍩	פּעמפּיקל
🍪	קיכל
🎂	דיין געבורסטאָג שטיקל
🍰	שאָרטקאַקע
🧁	קאַפּקייק
🥧	פּיראָג
🍫	שאָקאָלאַד באַר
🍬	זיסוואַרג
🍭	לאַליפּאַפּ
🍮	קאַסטערד
🍯	האָניק טאָפּ
🍼	בעיבי פלאַש
🥛	גלאז מילך
☕	הייסע געטראַנק
🍵	טעפּעך אָן שעפּן
🍶	צוליב
🍾	פלאַש מיט פּאַפּינג קאָריק
🍷	וויין גלאז
🍸	קאָקטייל גלאז
🍹	טראַפּיקאַל טרינקען
🍺	ביר באַפאַלן
🍻	קלינקינג ביר מאַגז
🥂	קלינקינג ברילן
🥃	טומבלער גלאז
🥤	גלעזל מיט שטרוי
🥢	טשאַפּסטיקס
🍽️	גאָפּל און מעסער מיט טעלער
🍽	גאָפּל און מעסער מיט טעלער
🍴	גאָפּל און מעסער
🥄	לעפל
🔪	קיך מעסער
🏺	אַמפאָראַ
🌍	גלאָבוס ווייַזן אייראָפּע-אפריקע
🌎	גלאָבוס ווייַזן אַמעריקע
🌏	גלאָבוס ווייזונג אזיע-אויסטראַליע
🌐	גלאָבוס מיט מערידיאַנס
🗺️	וועלט מאַפּע
🗺	וועלט מאַפּע
🗾	מאַפּע פון יאַפּאַן
🧭	קאָמפּאַס
🏔️	שניי-קאַפּט באַרג
🏔	שניי-קאַפּט באַרג
⛰️	באַרג
⛰	באַרג
🌋	ווולקאַן
🗻	בארג פודזשי
🏕️	קעמפּינג
🏕	קעמפּינג
🏖️	ברעג מיט שירעם
🏖	ברעג מיט שירעם
🏜️	מדבר
🏜	מדבר
🏝️	מדבר אינזל
🏝	מדבר אינזל
🏞️	נאציאנאלע פּאַרק
🏞	נאציאנאלע פּאַרק
🏟️	סטאַדיאָן
🏟	סטאַדיאָן
🏛️	קלאסישע בנין
🏛	קלאסישע בנין
🏗️	בנין קאַנסטראַקשאַן
🏗	בנין קאַנסטראַקשאַן
🧱	ציגל
🏘️	הייזער
🏘	הייזער
🏚️	אָפּגעלאָזן הויז
🏚	אָפּגעלאָזן הויז
🏠	הויז
🏡	הויז מיט גאָרטן
🏢	אָפיס בנין
🏣	יאַפּאַניש פּאָסט אָפיס
🏤	פּאָסט אָפיס
🏥	שפּיטאָל
🏦	באַנק
🏨	האָטעל
🏩	ליבע האָטעל
🏪	קאַנוויניאַנס קראָם
🏫	שולע
🏬	אָפּטיילונג קראָם
🏭	פאַבריק
🏯	יאַפּאַניש שלאָס
🏰	שלאָס
💒	חתונה
🗼	טאָקיאָ טורעם
🗽	סטעטוע אוו ליבערטי
⛪	קירך
🕌	מאָסקווע
🕍	שול
⛩️	שיטאָ מיזבייעך
⛩	שיטאָ מיזבייעך
🕋	kaaba
⛲	פאָנטאַן
⛺	געצעלט
🌁	נעפּלדיק
🌃	נאַכט מיט שטערן
🏙️	שטאָטשאַפט
🏙	שטאָטשאַפט
🌄	זונופגאַנג איבער בערג
🌅	זונופגאַנג
🌆	שטאָטסקאַפּע אין פאַרנאַכט
🌇	זונ - ונטערגאַנג
🌉	בריק בייַ נאַכט
♨️	הייסע קוואלן
♨	הייסע קוואלן
🌌	מילכיקע וועג
🎠	קעראַסעל פערד
🎡	פעריס ראָד
🎢	ראלער קאוסטער
💈	שערער פלאָקן
🎪	צירק געצעלט
🚂	לאָקאָמאָטיווע
🚃	באַן מאַשין
🚄	הויך-גיכקייַט באַן
🚅	קויל באַן
🚆	באַן
🚇	מעטראָ
🚈	ליכט רעלס
🚉	סטאַנציע
🚊	טראַם
🚝	מאַנאַרייל
🚞	באַרג באַן
🚋	טראַם מאַשין
🚌	באַס
🚍	אָנקאַמינג ויטאָבוס
🚎	טראָללייבוס
🚐	מיניבאַס
🚑	אַמבולאַנס
🚒	פייַער מאָטאָר
🚓	פּאָליצייַ מאַשין
🚔	אָנקאַמינג פּאָליצייַ מאַשין
🚕	טאַקסי
🚖	אָנקאַמינג טאַקסי
🚗	קאר
🚘	אָנקאַמינג ויטאָמאָביל
🚙	ספּאָרט נוצן פאָרמיטל
🚚	עקספּרעס טראָק
🚛	אַרטיקיאַלייטיד לאָרי
🚜	טראַקטאָר
🚲	וועלאָסיפּעד
🛴	בריק סקוטער
🛹	סקייטבאָרד
🛵	מאָטאָר סקוטער
🚏	באָס סטאנציע
🛣️	מאָטאָרווייַ
🛣	מאָטאָרווייַ
🛤️	באַן שפּור
🛤	באַן שפּור
🛢️	בוימל פּויק
🛢	בוימל פּויק
⛽	ברענוואַרג פּאָמפּע
🚨	פּאָליצייַ מאַשין ליכט
🚥	האָריזאָנטאַל פאַרקער ליכט
🚦	ווערטיקאַל פאַרקער ליכט
🛑	האַלטן צייכן
🚧	קאַנסטראַקשאַן
⚓	אַנקער
⛵	זעגלשיפל
🛶	קאַנו
🚤	ספּידבאָאַט
🛳️	פּאַסאַזשיר שיף
🛳	פּאַסאַזשיר שיף
⛴️	פּראָם
⛴	פּראָם
🛥️	מאָטאָר שיפל
🛥	מאָטאָר שיפל
🚢	שיף
✈️	אַעראָפּלאַן
✈	אַעראָפּלאַן
🛩️	קליין אַעראָפּלאַן
🛩	קליין אַעראָפּלאַן
🛫	אַעראָפּלאַן אָפּפאָר
🛬	אַעראָפּלאַן אָנקומען
💺	זיצפּלאַץ
🚁	העליקאָפּטער
🚟	סאַספּענשאַן באַן
🚠	באַרג קאַבלעווייַ
🚡	לופט טראַמווייַ
🛰️	סאַטעליט
🛰	סאַטעליט
🚀	ראַקעט
🛸	פליענדיק טעצל
🛎️	בעלהאָפּ גלאָק
🛎	בעלהאָפּ גלאָק
🧳	באַגאַזש
⌛	אַוערגלאַס געטאן
⏳	אַוערגלאַס נישט געטאן
⌚	וואַך
⏰	וועקער זייגער
⏱️	סטאַפּוואַטש
⏱	סטאַפּוואַטש
⏲️	טייַמער זייגער
⏲	טייַמער זייגער
🕰️	מאַנטעלפּיעסע זייגער
🕰	מאַנטעלפּיעסע זייגער
🕛	צוועלף אזייגער
🕧	צוועלף-דרײַסיק
🕐	איינס אזייגער
🕜	איין-דרײַסיק
🕑	צוויי אזייגער
🕝	צװײ און דרײסיק
🕒	דריי אזייגער
🕞	דרײַ און דרײַסיק
🕓	פיר אזייגער
🕟	פיר און דרײַסיק
🕔	פינף אזייגער
🕠	פֿינף און דרײַסיק
🕕	זעקס אזייגער
🕡	זעקס און דרײַסיק
🕖	זיבן אזייגער
🕢	זיבן דרייסיג
🕗	אכט אזייגער
🕣	אַכט און דרײַסיק
🕘	ניין א זייגער
🕤	נײן און דרײסיק
🕙	צען אזײגער
🕥	צען און דרײַסיק
🕚	עלף אזייגער
🕦	עלף-דרײַסיק
🌑	נייע לבנה
🌒	וואַקסינג קרעססענט לבנה
🌓	ערשטער פערטל לבנה
🌔	וואַקסינג גיבבאַס לבנה
🌕	א גאנצע לבנה
🌖	וואַנינג גיבבאַס לבנה
🌗	לעצטע פערטל לבנה
🌘	וואַנינג קרעססענט לבנה
🌙	קרעססענט לבנה
🌚	נייע לבנה פנים
🌛	ערשטער פערטל לבנה פּנים
🌜	לעצטע פערטל לבנה פּנים
🌡️	טערמאָמעטער
🌡	טערמאָמעטער
☀️	זון
☀	זון
🌝	פול לבנה פּנים
🌞	זון מיט פּנים
⭐	שטערן
🌟	גלאָוינג שטערן
🌠	שיסערייַ שטערן
☁️	וואָלקן
☁	וואָלקן
⛅	זון הינטער וואָלקן
⛈️	וואָלקן מיט בליץ און רעגן
⛈	וואָלקן מיט בליץ און רעגן
🌤️	זון הינטער קליין וואָלקן
🌤	זון הינטער קליין וואָלקן
🌥️	זון הינטער גרויס וואָלקן
🌥	זון הינטער גרויס וואָלקן
🌦️	זון הינטער רעגן וואָלקן
🌦	זון הינטער רעגן וואָלקן
🌧️	וואָלקן מיט רעגן
🌧	וואָלקן מיט רעגן
🌨️	וואָלקן מיט שניי
🌨	וואָלקן מיט שניי
🌩️	וואָלקן מיט בליץ
🌩	וואָלקן מיט בליץ
🌪️	טאָרנאַדאָ
🌪	טאָרנאַדאָ
🌫️	נעפּל
🌫	נעפּל
🌬️	ווינט פּנים
🌬	ווינט פּנים
🌀	ציקלאָן
🌈	רעגנבויגן
🌂	פארמאכט שירעם
☂️	שירעם
☂	שירעם
☔	שירעם מיט רעגן טראפנס
⛱️	שירעם אויף ערד
⛱	שירעם אויף ערד
⚡	הויך וואָולטידזש
❄️	שנייעלע
❄	שנייעלע
☃️	שניימאַן
☃	שניימאַן
⛄	שניימאַן אָן שניי
☄️	קאָמעט
☄	קאָמעט
🔥	פייַער
💧	דראָפּלעט
🌊	וואַסער כוואַליע
🎃	דזשאַק-אָ-לאַנטערן
🎄	קראצמעך בוים
🎆	פיירווערקס
🎇	פינקלען
🧨	פייערקראַקקער
✨	פינקלען
🎈	באַלאָן
🎉	פּאַרטיי פּאַפּער
🎊	קאָנפעטי פּילקע
🎋	טאַנאַבאַטאַ בוים
🎍	סאָסנע באַפּוצונג
🎎	יאַפּאַניש דאַלז
🎏	קאַרפּ סטרימער
🎐	ווינט טשימע
🎑	לבנה וויוינג צערעמאָניע
🧧	רויט קאָנווערט
🎀	בענד
🎁	אלנגעוויקלט טאַלאַנט
🎗️	דערמאָנונג בענד
🎗	דערמאָנונג בענד
🎟️	אַרייַנטרעטן טיקיץ
🎟	אַרייַנטרעטן טיקיץ
🎫	בילעט
🎖️	מיליטעריש מעדאַל
🎖	מיליטעריש מעדאַל
🏆	טראָופי
🏅	ספּאָרט מעדאַל
🥇	1 אָרט מעדאַל
🥈	2טער אָרט מעדאַל
🥉	3טער אָרט מעדאַל
⚽	סאקקער באלל
⚾	בייסבאָל
🥎	סאָפבאָל
🏀	קוישבאָל
🏐	נעצבאָל
🏈	אמעריקאנער פוטבאָל
🏉	רעגבי פוטבאָל
🎾	טעניס
🥏	פליענדיק דיסק
🎳	באָוולינג
🏏	קריקאַט שפּיל
🏑	פעלד האָקי
🏒	אייז האָקי
🥍	לאַקראָסס
🏓	פּינג פּאָנג
🏸	באַדמינטאָן
🥊	באָקסינג הענטשקע
🥋	מאַרשאַל קונסט מונדיר
🥅	ציל נעץ
⛳	פאָן אין לאָך
⛸️	גליטשן אויף אייז
⛸	גליטשן אויף אייז
🎣	פישערייַ פלאָקן
🎽	פליסנדיק העמד
🎿	סקיס
🛷	שליטן
🥌	קערלינג שטיין
🎯	דירעקט שלאָגן
🎱	בעקן 8 פּילקע
🔮	קריסטאַל פּילקע
🧿	נאַזאַר קאַמייע
🎮	ווידעא שפּיל
🕹️	דזשויסטיק
🕹	דזשויסטיק
🎰	שפּעלטל מאַשין
🎲	שפּיל שטאַרבן
🧩	לאָבזעג
🧸	טעדי בער
♠️	ספּאַדע פּאַסן
♠	ספּאַדע פּאַסן
♥️	האַרץ פּאַסן
♥	האַרץ פּאַסן
♦️	דימענט פּאַסן
♦	דימענט פּאַסן
♣️	קלוב פּאַסן
♣	קלוב פּאַסן
♟️	שאָך פּיאָן
♟	שאָך פּיאָן
🃏	דזשאָקער
🀄	מאַהדזשאָנג רויט שלאנג
🎴	בלום פּלייינג קאַרדס
🎭	פּערפאָרמינג קונסט
🖼️	פריימד בילד
🖼	פריימד בילד
🎨	קינסטלער פּאַליטרע
🧵	פאָדעם
🧶	יאַרן
🔇	פארשטומט רעדנער
🔈	רעדנער נידעריק באַנד
🔉	רעדנער מיטל באַנד
🔊	רעדנער הויך באַנד
📢	הילכער
📣	מעגאַפאָון
📯	פּאָסט האָרן
🔔	גלאָק
🔕	גלאָק מיט צעהאַקן
🎼	מוזיקאַליש כעזשבן
🎵	מוזיקאַליש טאָן
🎶	מוזיקאַליש הערות
🎙️	סטודיאָ מיקראָפאָן
🎙	סטודיאָ מיקראָפאָן
🎚️	מדרגה סליידער
🎚	מדרגה סליידער
🎛️	קאָנטראָל נאַבז
🎛	קאָנטראָל נאַבז
🎤	מיקראָפאָן
🎧	כעדפאָון
📻	ראַדיאָ
🎷	סאַקסאָפאָן
🎸	גיטאַרע
🎹	מוזיקאַליש קלאַוויאַטור
🎺	שופר
🎻	פֿידל
🥁	פּויק
📱	מאָביל טעלעפאָן
📲	מאָביל טעלעפאָן מיט פייַל
☎️	טעלעפאָן
☎	טעלעפאָן
📞	טעלעפאָן ופנעמער
📟	pager
📠	פאַקס מאַשין
🔋	באַטאַרייע
🔌	עלעקטריש צאַפּן
💻	לאַפּטאַפּ קאָמפּיוטער
🖥️	דעסקטאַפּ קאָמפּיוטער
🖥	דעסקטאַפּ קאָמפּיוטער
🖨️	דרוקער
🖨	דרוקער
⌨️	קיבארד
⌨	קיבארד
🖱️	קאָמפּיוטער מויז
🖱	קאָמפּיוטער מויז
🖲️	טראַקקבאָל
🖲	טראַקקבאָל
💽	קאָמפּיוטער דיסק
💾	Floppy דיסק
💿	אָפּטיש דיסק
📀	DVD
🧮	אַבאַקוס
🎥	פֿילם אַפּאַראַט
🎞️	פילם ראָמען
🎞	פילם ראָמען
📽️	פילם פּראַדזשעקטער
📽	פילם פּראַדזשעקטער
🎬	קלאַפּער ברעט
📺	טעלעוויזיע
📷	אַפּאַראַט
📸	אַפּאַראַט מיט בליץ
📹	ווידעא אַפּאַראַט
📼	ווידעא קאַסעט
🔍	פארגרעסערונג גלאז טילטיד לינקס
🔎	magnifying גלאז טילטיד רעכט
🕯️	ליכט
🕯	ליכט
💡	ליכט ציבעלע
🔦	פלאַשליגהט
🏮	רויט פּאַפּיר לאַנטערן
📔	העפט מיט דעקאָראַטיווע דעקל
📕	פארמאכט בוך
📖	עפענען בוך
📗	גרין בוך
📘	בלוי בוך
📙	מאַראַנץ בוך
📚	ביכער
📓	העפט
📒	לעדזשער
📃	בלאַט מיט קערל
📜	מעגילע
📄	בלאַט פייסינג אַרויף
📰	צייטונג
🗞️	ראָולד-אַרויף צייַטונג
🗞	ראָולד-אַרויף צייַטונג
📑	לייענ - צייכן טאַבס
🔖	לייענ - צייכן
🏷️	פירמע
🏷	פירמע
💰	געלט זעקל
💴	יען באנקנאט
💵	דאָלאַר באַנקנאָט
💶	ייראָ באַנקנאָט
💷	פונט באנקנאט
💸	געלט מיט פליגלען
💳	קרעדיט קארטל
🧾	קאַבאָלע
💹	טשאַרט ינקריסינג מיט יען
💱	קראַנטקייַט וועקסל
💲	שווער דאָלאַר צייכן
✉️	קאָנווערט
✉	קאָנווערט
📧	E- פּאָסט
📨	ארײנקומענדיקע קאנװערט
📩	קאָנווערט מיט פייַל
📤	אָוטבאָקס טאַץ
📥	ינבאָקס טאַץ
📦	פּעקל
📫	פארמאכט בריווקאַסטן מיט אויפשטיין פאָן
📪	פארמאכט בריווקאַסטן מיט לאָוערד פאָן
📬	עפענען בריווקאַסטן מיט אויפשטיין פאָן
📭	עפענען בריווקאַסטן מיט לאָוערד פאָן
📮	פּאָסטקאַסטן
🗳️	שטים צעטל מיט שטים צעטל
🗳	שטים צעטל מיט שטים צעטל
✏️	בלייַער
✏	בלייַער
✒️	שוואַרץ ניב
✒	שוואַרץ ניב
🖋️	פאָנטאַן פעדער
🖋	פאָנטאַן פעדער
🖊️	פעדער
🖊	פעדער
🖌️	פּיינט באַרשט
🖌	פּיינט באַרשט
🖍️	קרייאַן
🖍	קרייאַן
📝	מעמאָ
💼	טעקע
📁	טעקע טעקע
📂	עפענען טעקע טעקע
🗂️	קאָרט אינדעקס דיווידערס
🗂	קאָרט אינדעקס דיווידערס
📅	קאַלענדאַר
📆	רייַסן-אַוועק קאַלענדאַר
🗒️	ספּיראַליש נאָטעפּאַד
🗒	ספּיראַליש נאָטעפּאַד
🗓️	ספּיראַליש קאַלענדאַר
🗓	ספּיראַליש קאַלענדאַר
📇	קאָרט אינדעקס
📈	טשאַרט ינקריסינג
📉	טשאַרט דיקריסינג
📊	באַר טשאַרט
📋	קליפּבאָרד
📌	פּושפּין
📍	קייַלעכיק פּושפּין
📎	פּאַפּיר קלעמערל
🖇️	לינגקט פּאַפּערקליפּס
🖇	לינגקט פּאַפּערקליפּס
📏	גלייַך ווירע
📐	טרייאַנגגיאַלער ווירע
✂️	שער
✂	שער
🗃️	קאָרט טעקע קעסטל
🗃	קאָרט טעקע קעסטל
🗄️	טעקע קאַבינעט
🗄	טעקע קאַבינעט
🗑️	אָפּפאַל
🗑	אָפּפאַל
🔒	פארשפארט
🔓	אַנלאַקט
🔏	פארשפארט מיט פעדער
🔐	פארשפארט מיט שליסל
🔑	שליסל
🗝️	אַלט שליסל
🗝	אַלט שליסל
🔨	האַמער
⛏️	קלייַבן
⛏	קלייַבן
⚒️	האַמער און קלייַבן
⚒	האַמער און קלייַבן
🛠️	האַמער און מוטער-שליסל
🛠	האַמער און מוטער-שליסל
🗡️	דאַגער
🗡	דאַגער
⚔️	קראָסט שווערדן
⚔	קראָסט שווערדן
🔫	פּיסטויל
🏹	בויגן און פייַל
🛡️	שילד
🛡	שילד
🔧	מוטער-שליסל
🔩	נוס און ריגל
⚙️	גאַנג
⚙	גאַנג
🗜️	קלאַמערן
🗜	קלאַמערן
⚖️	וואָג וואָג
⚖	וואָג וואָג
🔗	לינק
⛓️	קייטן
⛓	קייטן
🧰	מכשירים
🧲	מאַגנעט
⚗️	alembic
⚗	alembic
🧪	פּרובירן רער
🧫	פּעטרי שיסל
🧬	דנאַ
🔬	מיקראָסקאָפּ
🔭	טעלעסקאָפּ
📡	סאַטעליט אַנטענע
💉	שפּריץ
💊	פּיל
🚪	טיר
🛏️	בעט
🛏	בעט
🛋️	קאַנאַפּע און לאָמפּ
🛋	קאַנאַפּע און לאָמפּ
🚽	קלאָזעט
🚿	שפּריץ
🛁	וואַנע
🧴	שמירעכץ פלאַש
🧷	זיכערקייַט שטיפט
🧹	בעזעם
🧺	קאָרב
🧻	זעמל פון פּאַפּיר
🧼	זייף
🧽	שוואָם
🧯	פייערלעשער
🛒	שאַפּינג וואָגן
🚬	פּאַפּיראָס
⚰️	אָרן
⚰	אָרן
⚱️	לעווייַע ערן
⚱	לעווייַע ערן
🗿	מאָי
🏧	אַטם צייכן
🚮	אָנוואַרפן אין בין צייכן
🚰	טרינקען וואַסער
♿	רעדערשטול סימבאָל
🚹	מענטשן ס צימער
🚺	פרויען ס צימער
🚻	אָפּטריט
🚼	בעיבי סימבאָל
🚾	וואסער שאנק
🛂	פאספארט קאנטראל
🛃	מינהגים
🛄	באַגאַזש פאָדערן
🛅	לינקס באַגאַזש
⚠️	ווארענונג
⚠	ווארענונג
🚸	קינדער אַריבער
⛔	קיין אַרייַנגאַנג
🚫	פאַרבאָטן
🚳	קיין בייסיקאַלז
🚭	ניט סמאָוקינג
🚯	קיין אָנוואַרפן
🚱	ניט-פּאַטאַבאַל וואַסער
🚷	קיין פוסגייער
📵	קיין רירעוודיק פאָנעס
🔞	קיינער אונטער אַכצן
☢️	ראַדיאָאַקטיוו
☢	ראַדיאָאַקטיוו
☣️	ביאָהאַזאַרד
☣	ביאָהאַזאַרד
⬆️	אַרויף פייַל
⬆	אַרויף פייַל
↗️	אַרויף-רעכט פייַל
↗	אַרויף-רעכט פייַל
➡️	רעכט פייַל
➡	רעכט פייַל
↘️	אַראָפּ-רעכט פייַל
↘	אַראָפּ-רעכט פייַל
⬇️	אַראָפּ פייַל
⬇	אַראָפּ פייַל
↙️	אַראָפּ-לינקס פייַל
↙	אַראָפּ-לינקס פייַל
⬅️	לינקס פייַל
⬅	לינקס פייַל
↖️	אַרויף-לינקס פייַל
↖	אַרויף-לינקס פייַל
↕️	אַרויף-אַראָפּ פייַל
↕	אַרויף-אַראָפּ פייַל
↔️	לינקס-רעכט פייַל
↔	לינקס-רעכט פייַל
↩️	רעכט פייַל קערווינג לינקס
↩	רעכט פייַל קערווינג לינקס
↪️	לינקס פייַל קערווינג רעכט
↪	לינקס פייַל קערווינג רעכט
⤴️	רעכט פייַל קערווינג אַרויף
⤴	רעכט פייַל קערווינג אַרויף
⤵️	רעכט פייַל קערווינג אַראָפּ
⤵	רעכט פייַל קערווינג אַראָפּ
🔃	קלאַקווייז ווערטיקאַל אַראָוז
🔄	קאַונטערקלאָקווייז אַראָוז קנעפּל
🔙	צוריק פייַל
🔚	END פייַל
🔛	אויף פייַל
🔜	באלד פייַל
🔝	שפּיץ פייַל
🛐	אָרט פון דינען
⚛️	אַטאָם סימבאָל
⚛	אַטאָם סימבאָל
🕉️	om
🕉	om
✡️	מגן דוד
✡	מגן דוד
☸️	ראָד פון דהאַרמאַ
☸	ראָד פון דהאַרמאַ
☯️	יין יאַנג
☯	יין יאַנג
✝️	לאַטייַן קרייַז
