😀	hmel nuihzatthlak tak
🏇🏾	sakawr intlansiak: vun rawng (medium-dark skin tone) a ni
🏇🏿	sakawr intlansiak: vun dum hring
⛷️	skier a ni
⛷	skier a ni
🏂	snowboarder a ni
🏂🏻	snowboarder: vun rawng hring hring
🏂🏼	snowboarder: vun rawng hring (medium-light skin tone) a ni
🏂🏽	snowboarder: vun rawng (medium skin tone) a ni
🏂🏾	snowboarder: vun rawng dum (medium-dark skin tone) a ni
🏂🏿	snowboarder: vun dum hring
🏌️	mi pakhatin golf a khel
🏌	mi pakhatin golf a khel
🏌🏻	mi golf khelh: vun rawng hring
🏌🏼	mi golf khelh: vun rawng (medium-light skin tone) a ni
🏌🏽	mi golf khelh: vun rawng (medium skin tone) a ni
🏌🏾	mi golf khelh: vun rawng (medium-dark skin tone) a ni
🏌🏿	mi golf khelh: vun dum hring
🏌️‍♂️	mipa golf khelh lai
🏌‍♂️	mipa golf khelh lai
🏌️‍♂	mipa golf khelh lai
🏌‍♂	mipa golf khelh lai
🏌🏻‍♂️	mipa golf khelh: vun rawng hring
🏌🏻‍♂	mipa golf khelh: vun rawng hring
🏌🏼‍♂️	mipa golf khelh: vun rawng (medium-light skin tone) a ni
🏌🏼‍♂	mipa golf khelh: vun rawng (medium-light skin tone) a ni
🏌🏽‍♂️	mipa golf khelh: vun rawng (medium skin tone) a ni
🏌🏽‍♂	mipa golf khelh: vun rawng (medium skin tone) a ni
🏌🏾‍♂️	mipa golf khelh: vun rawng (medium-dark skin tone) a ni
🏌🏾‍♂	mipa golf khelh: vun rawng (medium-dark skin tone) a ni
🏌🏿‍♂️	mipa golf khelh: vun dum hring
🏌🏿‍♂	mipa golf khelh: vun dum hring
🏌️‍♀️	hmeichhia golf khelh lai
🏌‍♀️	hmeichhia golf khelh lai
🏌️‍♀	hmeichhia golf khelh lai
🏌‍♀	hmeichhia golf khelh lai
🏌🏻‍♀️	hmeichhia golf khelh: vun rawng hring
🏌🏻‍♀	hmeichhia golf khelh: vun rawng hring
🏌🏼‍♀️	hmeichhia golf khelh: vun rawng (medium-light skin tone) a ni
🏌🏼‍♀	hmeichhia golf khelh: vun rawng (medium-light skin tone) a ni
🏌🏽‍♀️	hmeichhia golf khelh: vun rawng (medium skin tone) a ni
🏌🏽‍♀	hmeichhia golf khelh: vun rawng (medium skin tone) a ni
🏌🏾‍♀️	hmeichhia golf khelh: vun rawng (medium-dark skin tone) a ni
🏌🏾‍♀	hmeichhia golf khelh: vun rawng (medium-dark skin tone) a ni
🏌🏿‍♀️	hmeichhia golf khelh: vun dum
🏌🏿‍♀	hmeichhia golf khelh: vun dum
🏄	mi pakhat surfing
🏄🏻	mi surfing: vun rawng hring
🏄🏼	mi surfing: vun rawng hring (medium-light skin tone) a ni
🏄🏽	mi surfing: vun rawng (medium skin tone) a ni
🏄🏾	mi surfing: vun rawng dum (medium-dark skin tone) a ni
🏄🏿	person surfing: vun rawng dum
🏄‍♂️	mipa pakhat surfing
🏄‍♂	mipa pakhat surfing
🏄🏻‍♂️	mipa surfing: vun rawng hring
🏄🏻‍♂	mipa surfing: vun rawng hring
🏄🏼‍♂️	mipa surfing: vun rawng (medium-light skin tone) a ni
🏄🏼‍♂	mipa surfing: vun rawng (medium-light skin tone) a ni
🏄🏽‍♂️	mipa surfing: vun rawng (medium skin tone) a ni
🏄🏽‍♂	mipa surfing: vun rawng (medium skin tone) a ni
🏄🏾‍♂️	mipa surfing: vun rawng dum (medium-dark skin tone) a ni
🏄🏾‍♂	mipa surfing: vun rawng dum (medium-dark skin tone) a ni
🏄🏿‍♂️	man surfing: vun rawng dum
🏄🏿‍♂	man surfing: vun rawng dum
🏄‍♀️	hmeichhia surfing a ni
🏄‍♀	hmeichhia surfing a ni
🏄🏻‍♀️	hmeichhe surfing: vun rawng hring
🏄🏻‍♀	hmeichhe surfing: vun rawng hring
🏄🏼‍♀️	hmeichhe surfing: vun rawng (medium-light skin tone) a ni
🏄🏼‍♀	hmeichhe surfing: vun rawng (medium-light skin tone) a ni
🏄🏽‍♀️	hmeichhe surfing: vun rawng (medium skin tone) a nei
🏄🏽‍♀	hmeichhe surfing: vun rawng (medium skin tone) a nei
🏄🏾‍♀️	hmeichhe surfing: vun rawng (medium-dark skin tone) a ni
🏄🏾‍♀	hmeichhe surfing: vun rawng (medium-dark skin tone) a ni
🏄🏿‍♀️	hmeichhe surfing: vun rawng dum
🏄🏿‍♀	hmeichhe surfing: vun rawng dum
🚣	mi lawng khalhtu
🚣🏻	mi lawng khalh: vun rawng hring
🚣🏼	mi lawng khalh: vun rawng (medium-light skin tone).
🚣🏽	mi lawng khalh: vun rawng (medium skin tone).
🚣🏾	mi lawng khalh: vun rawng (medium-dark skin tone).
🚣🏿	mi lawng khalh: vun dum
🚣‍♂️	mipa lawng khalh lai
🚣‍♂	mipa lawng khalh lai
🚣🏻‍♂️	mipa lawng khalh: vun rawng hring
🚣🏻‍♂	mipa lawng khalh: vun rawng hring
🚣🏼‍♂️	mipa lawng khalh: vun rawng (medium-light skin tone).
🚣🏼‍♂	mipa lawng khalh: vun rawng (medium-light skin tone).
🚣🏽‍♂️	mipa lawng khalh: vun rawng (medium skin tone).
🚣🏽‍♂	mipa lawng khalh: vun rawng (medium skin tone).
🚣🏾‍♂️	mipa lawng khalh: vun rawng (medium-dark skin tone).
🚣🏾‍♂	mipa lawng khalh: vun rawng (medium-dark skin tone).
🚣🏿‍♂️	mipa lawng khalh: vun dum
🚣🏿‍♂	mipa lawng khalh: vun dum
🚣‍♀️	hmeichhia lawng khalh lai
🚣‍♀	hmeichhia lawng khalh lai
🚣🏻‍♀️	hmeichhe lawng khalh: vun rawng hring
🚣🏻‍♀	hmeichhe lawng khalh: vun rawng hring
🚣🏼‍♀️	hmeichhe lawng khalh: vun rawng (medium-light skin tone).
🚣🏼‍♀	hmeichhe lawng khalh: vun rawng (medium-light skin tone).
🚣🏽‍♀️	hmeichhe lawng khalh: vun rawng (medium skin tone).
🚣🏽‍♀	hmeichhe lawng khalh: vun rawng (medium skin tone).
🚣🏾‍♀️	hmeichhe lawng khalh: vun rawng (medium-dark skin tone).
🚣🏾‍♀	hmeichhe lawng khalh: vun rawng (medium-dark skin tone).
🚣🏿‍♀️	hmeichhe lawng khalh: vun dum
🚣🏿‍♀	hmeichhe lawng khalh: vun dum
🏊	mi tui chawi
🏊🏻	mi tui chawi: vun rawng hring
🏊🏼	mi tui chawi: vun rawng (medium-light skin tone).
🏊🏽	mi tui chawi: vun rawng (medium skin tone).
🏊🏾	mi tui chawi: vun rawng (medium-dark skin tone).
🏊🏿	mi tui chawi: vun dum
🏊‍♂️	mipa tui chawi
🏊‍♂	mipa tui chawi
🏊🏻‍♂️	mipa tui chawi: vun rawng hring
🏊🏻‍♂	mipa tui chawi: vun rawng hring
🏊🏼‍♂️	mipa tui chawi: vun rawng (medium-light skin tone).
🏊🏼‍♂	mipa tui chawi: vun rawng (medium-light skin tone).
🏊🏽‍♂️	mipa tui chawi: vun rawng (medium skin tone).
🏊🏽‍♂	mipa tui chawi: vun rawng (medium skin tone).
🏊🏾‍♂️	mipa tui chawi: vun rawng (medium-dark skin tone).
🏊🏾‍♂	mipa tui chawi: vun rawng (medium-dark skin tone).
🏊🏿‍♂️	mipa tui chawi: vun dum
🏊🏿‍♂	mipa tui chawi: vun dum
🏊‍♀️	hmeichhia tui chawi
🏊‍♀	hmeichhia tui chawi
🏊🏻‍♀️	hmeichhe tui chawi: vun rawng hring
🏊🏻‍♀	hmeichhe tui chawi: vun rawng hring
🏊🏼‍♀️	hmeichhe tui chawi: vun rawng (medium-light skin tone).
🏊🏼‍♀	hmeichhe tui chawi: vun rawng (medium-light skin tone).
🏊🏽‍♀️	hmeichhe tui chawi: vun rawng (medium skin tone).
🏊🏽‍♀	hmeichhe tui chawi: vun rawng (medium skin tone).
🏊🏾‍♀️	hmeichhe tui chawi: vun rawng (medium-dark skin tone).
🏊🏾‍♀	hmeichhe tui chawi: vun rawng (medium-dark skin tone).
🏊🏿‍♀️	hmeichhe tui chawi: vun dum
🏊🏿‍♀	hmeichhe tui chawi: vun dum
⛹️	mi pakhatin ball a rawn bounce
⛹	mi pakhatin ball a rawn bounce
⛹🏻	mi bouncing ball: vun rawng hring
⛹🏼	mi bouncing ball: vun rawng (medium-light skin tone) a ni
⛹🏽	mi bouncing ball: vun rawng (medium skin tone) a ni
⛹🏾	mi bouncing ball: vun rawng dum (medium-dark skin tone) a ni
⛹🏿	person bouncing ball: vun rawng dum
⛹️‍♂️	mipa ball bounce lai a ni
⛹‍♂️	mipa ball bounce lai a ni
⛹️‍♂	mipa ball bounce lai a ni
⛹‍♂	mipa ball bounce lai a ni
⛹🏻‍♂️	mipa ball bounce: vun rawng hring
⛹🏻‍♂	mipa ball bounce: vun rawng hring
⛹🏼‍♂️	mipa ball bouncing: vun rawng (medium-light skin tone) a ni
⛹🏼‍♂	mipa ball bouncing: vun rawng (medium-light skin tone) a ni
⛹🏽‍♂️	mipa ball bounce: vun rawng (medium skin tone) a ni
⛹🏽‍♂	mipa ball bounce: vun rawng (medium skin tone) a ni
⛹🏾‍♂️	mipa ball bounce: vun rawng dum (medium-dark skin tone) a ni
⛹🏾‍♂	mipa ball bounce: vun rawng dum (medium-dark skin tone) a ni
⛹🏿‍♂️	mipa bouncing ball: vun rawng dum
⛹🏿‍♂	mipa bouncing ball: vun rawng dum
⛹️‍♀️	hmeichhia ball bounce lai
⛹‍♀️	hmeichhia ball bounce lai
⛹️‍♀	hmeichhia ball bounce lai
⛹‍♀	hmeichhia ball bounce lai
⛹🏻‍♀️	hmeichhe bouncing ball: vun rawng hring
⛹🏻‍♀	hmeichhe bouncing ball: vun rawng hring
⛹🏼‍♀️	hmeichhe ball bounce: vun rawng (medium-light skin tone) a ni
⛹🏼‍♀	hmeichhe ball bounce: vun rawng (medium-light skin tone) a ni
⛹🏽‍♀️	hmeichhe bouncing ball: vun rawng (medium skin tone) a ni
⛹🏽‍♀	hmeichhe bouncing ball: vun rawng (medium skin tone) a ni
⛹🏾‍♀️	hmeichhe bouncing ball: vun rawng (medium-dark skin tone) a ni
⛹🏾‍♀	hmeichhe bouncing ball: vun rawng (medium-dark skin tone) a ni
⛹🏿‍♀️	hmeichhe bouncing ball: vun rawng dum
⛹🏿‍♀	hmeichhe bouncing ball: vun rawng dum
🏋️	mi pakhatin rit a chawi
🏋	mi pakhatin rit a chawi
🏋🏻	mi pakhatin rit a chawi: vun rawng hring
🏋🏼	mi pakhatin rit a chawi: vun rawng (medium-light skin tone).
🏋🏽	mi pakhatin rit a chawi: vun rawng (medium skin tone).
🏋🏾	mi pakhatin rit a chawi: vun rawng (medium-dark skin tone).
🏋🏿	mi pakhatin rit a chawi: vun rawng dum
🏋️‍♂️	mipain rit a chawi
🏋‍♂️	mipain rit a chawi
🏋️‍♂	mipain rit a chawi
🏋‍♂	mipain rit a chawi
🏋🏻‍♂️	mipa rit phurh: vun rawng hring
🏋🏻‍♂	mipa rit phurh: vun rawng hring
🏋🏼‍♂️	mipa rit phurh: vun rawng (medium-light skin tone).
🏋🏼‍♂	mipa rit phurh: vun rawng (medium-light skin tone).
🏋🏽‍♂️	mipa rit phurh: vun rawng (medium skin tone).
🏋🏽‍♂	mipa rit phurh: vun rawng (medium skin tone).
🏋🏾‍♂️	mipa rit phurh: vun rawng (medium-dark skin tone).
🏋🏾‍♂	mipa rit phurh: vun rawng (medium-dark skin tone).
🏋🏿‍♂️	mipa rit phurh: vun rawng dum
🏋🏿‍♂	mipa rit phurh: vun rawng dum
🏋️‍♀️	hmeichhiain rit a chawi
🏋‍♀️	hmeichhiain rit a chawi
🏋️‍♀	hmeichhiain rit a chawi
🏋‍♀	hmeichhiain rit a chawi
🏋🏻‍♀️	hmeichhia rit phurh: vun rawng hring
🏋🏻‍♀	hmeichhia rit phurh: vun rawng hring
🏋🏼‍♀️	hmeichhia rit phurh: vun rawng (medium-light skin tone).
🏋🏼‍♀	hmeichhia rit phurh: vun rawng (medium-light skin tone).
🏋🏽‍♀️	hmeichhia rit phurh: vun rawng (medium skin tone).
🏋🏽‍♀	hmeichhia rit phurh: vun rawng (medium skin tone).
🏋🏾‍♀️	hmeichhia rit phurh: vun rawng (medium-dark skin tone).
🏋🏾‍♀	hmeichhia rit phurh: vun rawng (medium-dark skin tone).
🏋🏿‍♀️	hmeichhia rit phurh: vun dum
🏋🏿‍♀	hmeichhia rit phurh: vun dum
🚴	mi bike khalh
🚴🏻	mi bike khalh: vun rawng hring
🚴🏼	mi bike khalh: vun rawng (medium-light skin tone).
🚴🏽	mi bike khalh: vun rawng (medium skin tone).
🚴🏾	mi bike khalh: vun rawng (medium-dark skin tone).
🚴🏿	mi bike khalh: vun dum
🚴‍♂️	mipa bike khalh
🚴‍♂	mipa bike khalh
🚴🏻‍♂️	mipa biking: vun rawng hring
🚴🏻‍♂	mipa biking: vun rawng hring
🚴🏼‍♂️	mipa biking: vun rawng (medium-light skin tone) a ni
🚴🏼‍♂	mipa biking: vun rawng (medium-light skin tone) a ni
🚴🏽‍♂️	mipa biking: vun rawng (medium skin tone) a ni
🚴🏽‍♂	mipa biking: vun rawng (medium skin tone) a ni
🚴🏾‍♂️	mipa bike khalh: vun rawng (medium-dark skin tone) a ni
🚴🏾‍♂	mipa bike khalh: vun rawng (medium-dark skin tone) a ni
🚴🏿‍♂️	mipa biking: vun rawng dum
🚴🏿‍♂	mipa biking: vun rawng dum
🚴‍♀️	hmeichhia bike khalh
🚴‍♀	hmeichhia bike khalh
🚴🏻‍♀️	hmeichhia bike khalh: vun rawng a eng
🚴🏻‍♀	hmeichhia bike khalh: vun rawng a eng
🚴🏼‍♀️	hmeichhia bike khalh: vun rawng (medium-light skin tone) a ni
🚴🏼‍♀	hmeichhia bike khalh: vun rawng (medium-light skin tone) a ni
🚴🏽‍♀️	hmeichhia bike khalh: vun rawng (medium skin tone).
🚴🏽‍♀	hmeichhia bike khalh: vun rawng (medium skin tone).
🚴🏾‍♀️	hmeichhia bike khalh: vun rawng (medium-dark skin tone) a ni
🚴🏾‍♀	hmeichhia bike khalh: vun rawng (medium-dark skin tone) a ni
🚴🏿‍♀️	hmeichhia bike khalh: vun dum
🚴🏿‍♀	hmeichhia bike khalh: vun dum
🚵	mi pakhat tlang bike khalh
🚵🏻	mi mountain biking: vun rawng hring
🚵🏼	mi mountain biking: vun rawng hring (medium-light skin tone) a ni
🚵🏽	mi mountain biking: vun rawng (medium skin tone) a ni
🚵🏾	mi mountain biking: vun rawng dum (medium-dark skin tone) a ni
🚵🏿	mi mountain biking: vun dum hring
🚵‍♂️	mipa tlang bike khalh
🚵‍♂	mipa tlang bike khalh
🚵🏻‍♂️	mipa tlang bike khalh: vun rawng hring
🚵🏻‍♂	mipa tlang bike khalh: vun rawng hring
🚵🏼‍♂️	mipa tlang bike khalh: vun rawng (medium-light skin tone) a ni
🚵🏼‍♂	mipa tlang bike khalh: vun rawng (medium-light skin tone) a ni
🚵🏽‍♂️	mipa tlang bike khalh: vun rawng (medium skin tone).
🚵🏽‍♂	mipa tlang bike khalh: vun rawng (medium skin tone).
🚵🏾‍♂️	man mountain biking: vun rawng dum (medium-dark skin tone) a ni
🚵🏾‍♂	man mountain biking: vun rawng dum (medium-dark skin tone) a ni
🚵🏿‍♂️	mipa tlang bike khalh: vun dum hring
🚵🏿‍♂	mipa tlang bike khalh: vun dum hring
🚵‍♀️	hmeichhia tlang bike khalh
🚵‍♀	hmeichhia tlang bike khalh
🚵🏻‍♀️	hmeichhia tlang bike khalh: vun rawng hring
🚵🏻‍♀	hmeichhia tlang bike khalh: vun rawng hring
🚵🏼‍♀️	hmeichhia tlang bike khalh: vun rawng (medium-light skin tone).
🚵🏼‍♀	hmeichhia tlang bike khalh: vun rawng (medium-light skin tone).
🚵🏽‍♀️	hmeichhia mountain biking: vun rawng (medium skin tone) a ni
🚵🏽‍♀	hmeichhia mountain biking: vun rawng (medium skin tone) a ni
🚵🏾‍♀️	hmeichhe mountain biking: vun rawng dum (medium-dark skin tone) a ni
🚵🏾‍♀	hmeichhe mountain biking: vun rawng dum (medium-dark skin tone) a ni
🚵🏿‍♀️	hmeichhia mountain biking: vun dum hring
🚵🏿‍♀	hmeichhia mountain biking: vun dum hring
🏎️	racing car a ni
🏎	racing car a ni
🏍️	motor khalh a ni
🏍	motor khalh a ni
🤸	mi pakhat cartwheeling
🤸🏻	mi cartwheeling: vun rawng hring
🤸🏼	mi cartwheeling: vun rawng (medium-light skin tone) a ni
🤸🏽	mi cartwheeling: vun rawng (medium skin tone) a ni
🤸🏾	mi cartwheeling: vun rawng dum (medium-dark skin tone) a ni
🤸🏿	mi cartwheeling: vun dum hring
🤸‍♂️	mipa cartwheeling-a kal
🤸‍♂	mipa cartwheeling-a kal
🤸🏻‍♂️	mipa cartwheeling: vun rawng hring
🤸🏻‍♂	mipa cartwheeling: vun rawng hring
🤸🏼‍♂️	mipa cartwheeling: vun rawng hring (medium-light skin tone) a ni
🤸🏼‍♂	mipa cartwheeling: vun rawng hring (medium-light skin tone) a ni
🤸🏽‍♂️	mipa cartwheeling: vun rawng (medium skin tone) a ni
🤸🏽‍♂	mipa cartwheeling: vun rawng (medium skin tone) a ni
🤸🏾‍♂️	mipa cartwheeling: vun rawng dum (medium-dark skin tone) a ni
🤸🏾‍♂	mipa cartwheeling: vun rawng dum (medium-dark skin tone) a ni
🤸🏿‍♂️	man cartwheeling: vun dum hring
🤸🏿‍♂	man cartwheeling: vun dum hring
🤸‍♀️	hmeichhia cartwheeling
🤸‍♀	hmeichhia cartwheeling
🤸🏻‍♀️	hmeichhe cartwheeling: vun rawng hring
🤸🏻‍♀	hmeichhe cartwheeling: vun rawng hring
🤸🏼‍♀️	hmeichhe cartwheeling: vun rawng (medium-light skin tone) a ni
🤸🏼‍♀	hmeichhe cartwheeling: vun rawng (medium-light skin tone) a ni
🤸🏽‍♀️	hmeichhe cartwheeling: vun rawng (medium skin tone) a ni
🤸🏽‍♀	hmeichhe cartwheeling: vun rawng (medium skin tone) a ni
🤸🏾‍♀️	hmeichhe cartwheeling: vun rawng dum (medium-dark skin tone) a ni
🤸🏾‍♀	hmeichhe cartwheeling: vun rawng dum (medium-dark skin tone) a ni
🤸🏿‍♀️	hmeichhe cartwheeling: vun dum hring
🤸🏿‍♀	hmeichhe cartwheeling: vun dum hring
🤼	mipui wrestling
🤼‍♂️	mipa wrestling
🤼‍♂	mipa wrestling
🤼‍♀️	hmeichhia wrestling
🤼‍♀	hmeichhia wrestling
🤽	mi pakhat water polo khelh lai
🤽🏻	water polo khel mi: vun rawng hring
🤽🏼	water polo khel mi: vun rawng (medium-light skin tone).
🤽🏽	water polo khel mi: vun rawng (medium skin tone).
🤽🏾	water polo khel mi: vun rawng dum (medium-dark skin tone).
🤽🏿	water polo khel mi: vun rawng dum
🤽‍♂️	mipa pakhat water polo khelh lai
🤽‍♂	mipa pakhat water polo khelh lai
🤽🏻‍♂️	mipa water polo khel: vun rawng hring
🤽🏻‍♂	mipa water polo khel: vun rawng hring
🤽🏼‍♂️	mipa water polo khel: vun rawng (medium-light skin tone) a ni
🤽🏼‍♂	mipa water polo khel: vun rawng (medium-light skin tone) a ni
🤽🏽‍♂️	mipa water polo khel: vun rawng (medium skin tone) a ni
🤽🏽‍♂	mipa water polo khel: vun rawng (medium skin tone) a ni
🤽🏾‍♂️	mipa water polo khel: vun rawng (medium-dark skin tone) a ni
🤽🏾‍♂	mipa water polo khel: vun rawng (medium-dark skin tone) a ni
🤽🏿‍♂️	mipa water polo khel: vun rawng dum
🤽🏿‍♂	mipa water polo khel: vun rawng dum
🤽‍♀️	hmeichhia water polo khelh lai
🤽‍♀	hmeichhia water polo khelh lai
🤽🏻‍♀️	hmeichhia water polo khel: vun rawng hring
🤽🏻‍♀	hmeichhia water polo khel: vun rawng hring
🤽🏼‍♀️	hmeichhia water polo khel: vun rawng (medium-light skin tone) a ni
🤽🏼‍♀	hmeichhia water polo khel: vun rawng (medium-light skin tone) a ni
🤽🏽‍♀️	hmeichhia water polo khel: vun rawng (medium skin tone) a ni
🤽🏽‍♀	hmeichhia water polo khel: vun rawng (medium skin tone) a ni
🤽🏾‍♀️	hmeichhia water polo khel: vun rawng (medium-dark skin tone) a ni
🤽🏾‍♀	hmeichhia water polo khel: vun rawng (medium-dark skin tone) a ni
🤽🏿‍♀️	hmeichhia water polo khel: vun rawng dum
🤽🏿‍♀	hmeichhia water polo khel: vun rawng dum
🤾	mi pakhatin handball a khel
🤾🏻	mi pakhat handball khel: vun rawng hring
🤾🏼	handball khel mi: vun rawng (medium-light skin tone).
🤾🏽	handball khel mi: vun rawng (medium skin tone).
🤾🏾	handball khel mi: vun rawng (medium-dark skin tone).
🤾🏿	mi pakhat handball khel: vun dum
🤾‍♂️	mipa handball khelh lai
🤾‍♂	mipa handball khelh lai
🤾🏻‍♂️	mipa handball khel: vun rawng hring
🤾🏻‍♂	mipa handball khel: vun rawng hring
🤾🏼‍♂️	mipa handball khel: vun rawng (medium-light skin tone) a ni
🤾🏼‍♂	mipa handball khel: vun rawng (medium-light skin tone) a ni
🤾🏽‍♂️	mipa handball khel: vun rawng (medium skin tone).
🤾🏽‍♂	mipa handball khel: vun rawng (medium skin tone).
🤾🏾‍♂️	mipa handball khel: vun rawng (medium-dark skin tone) a ni
🤾🏾‍♂	mipa handball khel: vun rawng (medium-dark skin tone) a ni
🤾🏿‍♂️	mipa handball khel: vun dum
🤾🏿‍♂	mipa handball khel: vun dum
🤾‍♀️	hmeichhia handball khelh lai
🤾‍♀	hmeichhia handball khelh lai
🤾🏻‍♀️	hmeichhia handball khel: vun rawng hring
🤾🏻‍♀	hmeichhia handball khel: vun rawng hring
🤾🏼‍♀️	hmeichhia handball khel: vun rawng chu medium-light
🤾🏼‍♀	hmeichhia handball khel: vun rawng chu medium-light
🤾🏽‍♀️	hmeichhia handball khel: vun rawng (medium skin tone).
🤾🏽‍♀	hmeichhia handball khel: vun rawng (medium skin tone).
🤾🏾‍♀️	hmeichhia handball khel: vun rawng (medium-dark skin tone).
🤾🏾‍♀	hmeichhia handball khel: vun rawng (medium-dark skin tone).
🤾🏿‍♀️	hmeichhia handball khel: vun dum
🤾🏿‍♀	hmeichhia handball khel: vun dum
🤹	mi juggling
🤹🏻	mi juggling: vun rawng hring
🤹🏼	mi juggling: vun rawng (medium-light skin tone) a ni
🤹🏽	mi juggling: vun rawng (medium skin tone) a ni
🤹🏾	mi juggling: vun rawng dum (medium-dark skin tone) a ni
🤹🏿	mi juggling: vun dum hring
🤹‍♂️	mipa juggling a ni
🤹‍♂	mipa juggling a ni
🤹🏻‍♂️	mipa juggling: vun rawng hring
🤹🏻‍♂	mipa juggling: vun rawng hring
🤹🏼‍♂️	mipa juggling: vun rawng (medium-light skin tone) a ni
🤹🏼‍♂	mipa juggling: vun rawng (medium-light skin tone) a ni
🤹🏽‍♂️	mipa juggling: vun rawng (medium skin tone) a ni
🤹🏽‍♂	mipa juggling: vun rawng (medium skin tone) a ni
🤹🏾‍♂️	mipa juggling: vun rawng dum (medium-dark skin tone) a ni
🤹🏾‍♂	mipa juggling: vun rawng dum (medium-dark skin tone) a ni
🤹🏿‍♂️	mipa juggling: vun dum hring
🤹🏿‍♂	mipa juggling: vun dum hring
🤹‍♀️	hmeichhia juggling
🤹‍♀	hmeichhia juggling
🤹🏻‍♀️	hmeichhia juggling: vun rawng hring
🤹🏻‍♀	hmeichhia juggling: vun rawng hring
🤹🏼‍♀️	hmeichhia juggling: vun rawng (medium-light skin tone) a ni
🤹🏼‍♀	hmeichhia juggling: vun rawng (medium-light skin tone) a ni
🤹🏽‍♀️	hmeichhia juggling: vun rawng (medium skin tone) a ni
🤹🏽‍♀	hmeichhia juggling: vun rawng (medium skin tone) a ni
🤹🏾‍♀️	hmeichhia juggling: vun rawng dum (medium-dark skin tone) a ni
🤹🏾‍♀	hmeichhia juggling: vun rawng dum (medium-dark skin tone) a ni
🤹🏿‍♀️	hmeichhia juggling: vun dum hring
🤹🏿‍♀	hmeichhia juggling: vun dum hring
👫	mipa leh hmeichhia kut inthlak
👬	mi pahnih kut insuih chungin
👭	hmeichhe pahnih kut inthlak
💏	fawp
👩‍❤️‍💋‍👨	kiss: hmeichhia, mipa
👩‍❤‍💋‍👨	kiss: hmeichhia, mipa
👨‍❤️‍💋‍👨	kiss: mipa, mipa
👨‍❤‍💋‍👨	kiss: mipa, mipa
👩‍❤️‍💋‍👩	kiss: hmeichhia, hmeichhia
👩‍❤‍💋‍👩	kiss: hmeichhia, hmeichhia
💑	nupa thinlung nei
👩‍❤️‍👨	nupa thinlung nei: hmeichhia, mipa
👩‍❤‍👨	nupa thinlung nei: hmeichhia, mipa
👨‍❤️‍👨	thinlung nei nupa: mipa, mipa
👨‍❤‍👨	thinlung nei nupa: mipa, mipa
👩‍❤️‍👩	nupa thinlung nei: hmeichhia, hmeichhia
👩‍❤‍👩	nupa thinlung nei: hmeichhia, hmeichhia
👪	chhungkua
👨‍👩‍👦	chhungkua: mipa, hmeichhia, mipa
👨‍👩‍👧	chhungkua: mipa, hmeichhia, hmeichhia
👨‍👩‍👧‍👦	chhungkua: mipa, hmeichhia, hmeichhia, mipa
👨‍👩‍👦‍👦	chhungkua: mipa, hmeichhia, mipa, tlangval
👨‍👩‍👧‍👧	chhungkua: mipa, hmeichhia, hmeichhia, hmeichhia
👨‍👨‍👦	chhungkua: mipa, mipa, tlangval
👨‍👨‍👧	chhungkua: mipa, mipa, hmeichhia
👨‍👨‍👧‍👦	chhungkua: mipa, mipa, hmeichhia, mipa
👨‍👨‍👦‍👦	chhungkua: mipa, mipa, tlangval, tlangval
👨‍👨‍👧‍👧	chhungkua: mipa, mipa, hmeichhia, hmeichhia
👩‍👩‍👦	chhungkua: hmeichhia, hmeichhia, mipa
👩‍👩‍👧	chhungkua: hmeichhia, hmeichhia, hmeichhia
👩‍👩‍👧‍👦	chhungkua: hmeichhia, hmeichhia, hmeichhia, mipa
👩‍👩‍👦‍👦	chhungkua: hmeichhia, hmeichhia, mipa, mipa
👩‍👩‍👧‍👧	chhungkua: hmeichhia, hmeichhia, hmeichhia, hmeichhia
👨‍👦	chhungkua: mipa, tlangval
👨‍👦‍👦	chhungkua: mipa, tlangval, tlangval
👨‍👧	chhungkua: mipa, hmeichhia
👨‍👧‍👦	chhungkua: mipa, hmeichhia, mipa
👨‍👧‍👧	chhungkua: mipa, hmeichhia, hmeichhia
👩‍👦	chhungkua: hmeichhia, mipa
👩‍👦‍👦	chhungkua: hmeichhia, mipa, tlangval
👩‍👧	chhungkua: hmeichhia, hmeichhia
👩‍👧‍👦	chhungkua: hmeichhia, hmeichhia, mipa
👩‍👧‍👧	chhungkua: hmeichhia, hmeichhia, hmeichhia
🤳	selfie lak a ni
🤳🏻	selfie: vun rawng a eng
🤳🏼	selfie: vun rawng (medium-light skin tone) a ni
🤳🏽	selfie: vun rawng (medium skin tone) a ni
🤳🏾	selfie: vun rawng dum (medium-dark skin tone) a ni
🤳🏿	selfie: vun dum hring
💪	biceps chu a flex a
💪🏻	flexed biceps: vun rawng hring
💪🏼	flexed biceps: vun rawng hring (medium-light skin tone) a ni
💪🏽	flexed biceps: vun rawng (medium skin tone) a ni
💪🏾	flexed biceps: vun rawng dum (medium-dark skin tone) a ni
💪🏿	flexed biceps: vun rawng dum
🦵	ke
🦵🏻	ke: vun rawng hring
🦵🏼	ke: vun rawng (medium-light skin tone) a ni
🦵🏽	ke: vun rawng (medium skin tone) a ni
🦵🏾	ke: vun rawng (medium-dark skin tone) a ni
🦵🏿	ke: vun rawng dum
🦶	ke
🦶🏻	ke: vun rawng hring
🦶🏼	ke: vun rawng (medium-light skin tone) a ni
